https://w3id.org/okn/o/sd#Parameter,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasDataType,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sd#hasFixedValue,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#adjustsVariable,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sdm#relevantForIntervention,https://w3id.org/okn/o/sd#hasAcceptedValues,https://w3id.org/okn/o/sd#recommendedIncrement
sir_s,S,Number of people who are susceptible at the start of the simulation,,int,,,1,,,,,,,
sir_k,k,"""Fraction of those infected who recover each day (eg, if an individual's infection typically lasts 3 days then k=1/3)""",,float,,,2,,,,,,,
sir_r,R,Number of people who are recovered at the start of the simulation,,int,,,3,,,,,,,
sir_b,b,"""Number of contacts with others that each infected individual has per day (eg, if contact is every 2 days then b=1/2)""",,float,,,4,,,,,,,
sir_i,I,Number of people who are infected at the start of the simulation,,int,,,5,,,,,,,
,,,,,,,,,,,,,,
SIR_Pleasantville_sir_s,S,Number of people who are susceptible at the start of the simulation,50000,int,,,1,,,,,,,
SIR_Pleasantville_sir_k,k,"""Fraction of those infected who recover each day (eg, if an individual's infection typically lasts 3 days then k=1/3)""",,float,,,2,,,,,,,
SIR_Pleasantville_sir_r,R,Number of people who are recovered at the start of the simulation,,int,,,3,,,,,,,
SIR_Pleasantville_sir_b,b,"""Number of contacts with others that each infected individual has per day (eg, if contact is every 2 days then b=1/2)""",10,float,,10,4,,,,,,,
SIR_Pleasantville_sir_i,I,Number of people who are infected at the start of the simulation,10,int,,,5,,,,,,,
,,,,,,,,,,,,,,
SIR_TwinPeaks_sir_s,S,Number of people who are susceptible at the start of the simulation,1000,int,,,1,,,,,,,
SIR_TwinPeaks_sir_k,k,"""Fraction of those infected who recover each day (eg, if an individual's infection typically lasts 3 days then k=1/3)""",,float,,,2,,,,,,,
SIR_TwinPeaks_sir_r,R,Number of people who are recovered at the start of the simulation,,int,,,3,,,,,,,
SIR_TwinPeaks_sir_b,b,"""Number of contacts with others that each infected individual has per day (eg, if contact is every 2 days then b=1/2)""",0.25,float,,0.25,4,,,,,,,
SIR_TwinPeaks_sir_i,I,Number of people who are infected at the start of the simulation,10,int,,,5,,,,,,,
