https://w3id.org/okn/o/sd#FundingInformation,https://w3id.org/okn/o/sd#fundingGrant,https://w3id.org/okn/o/sd#fundingSource
PIHM_funding,,nsf
CYCLES_funding,,
ECONOMIC_AGGREGATE_CROP_SUPPLY_funding,,
TOPOFLOW_funding,,nsf
DSSAT_funding,,usaid
MODFLOW_funding,,usgs
WGEN_funding,,erc;snwf
ClimComp_funding,,darpa
HAND_funding,,
SWAT_funding,,usda;tamu_agrilife
KIMETRICA_LAND_USE_funding,,nsf
pihm_2.2_funding,,darpa
pihm_v4_funding,,
cycles_v0.9.3_alpha_funding,,
cycles_v0.9.4_alpha_funding,,
kimetrica_0.0_funding,,darpa
EACS_2.0_funding,,darpa
EACS_5.0_funding,,darpa
EACS_6.0_funding,,darpa
EACS_6.1_funding,,darpa
topoflow_3.5_funding,,
DSSAT_4.7_funding,,usgs
modflow_2005_funding,,darpa
wgen_1.0.1_funding,,darpa
ClimComp_0.0.2_funding,,
HANDv1_funding,,
