https://w3id.org/okn/o/sd#SourceCode,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#codeRepository,https://w3id.org/okn/o/sd#programmingLanguage,https://w3id.org/okn/o/sd#license
climcomp_source,,,,,
fsi_source,Flood severity index source code,Flood severity index source code,https://github.com/mintproject/FloodSeverityIndex,Python3.6,
modflow2005_source,ModFlow 2005 source code (v1.12.00),ModFlow 2005 source code (v1.12.00),,Fortran 90;C;C++,https://creativecommons.org/publicdomain/zero/1.0/
pihm_source,PIHM source code,PIHM source code,https://github.com/pihmadmin/PIHM,C;C++,https://github.com/pihmadmin/PIHM/blob/master/LICENSE.txt
pihm_sourceCode,,,,,
pihm_sourceCode_v4,PIHM source code for version 4,This version of the code of PIHM is written in C++,https://github.com/shulele/PIHM-4.0,C;C++,
source_cycles-0.10.2-alpha-collection,Cycles configuration component for grouped soil-weather,Code for creating an encapsulation of Cycles (v0.9.4) with grouped soil-weather,https://github.com/mintproject/MINT-WorkflowDomain/blob/master/WINGSWorkflowComponents/cycles-0.10.2-alpha-collection/,shell,
source_cycles-0.9.4-alpha,Cycles configuration component (v2),Code for creating an encapsulation of Cycles (v0.9.4),https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/,shell,
source_cycles_config,Cycles configuration component,Code for creating an encapsulation of Cycles (v0.9.3),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/cycles,shell,
source_cycles_config_mp,Cycles configuration component (multiple points),Code for creating an encapsulation of Cycles for multiple points,https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/cycles_multiple_points,shell,
source_dsi_comp,,,,,
source_econ_config_v2,EACS configuration component (version 2 of code),Code for creating an encapsulation of EACS for a model configuration (version 2),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/economic-v2,shell,
source_econ_config_v5,EACS configuration component (version 5 of code),Code for creating an encapsulation of EACS for a model configuration (version 5),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/economic-v5,shell,
source_econ_config_v6,EACS configuration component (version 6 of code),Code for creating an encapsulation of EACS for a model configuration (version 6),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/economic-v6,shell,
source_econ_config_v6.1,EACS configuration component (version 6.1 of code),Code for creating an encapsulation of EACS for a model configuration (version 6.1),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/economic-v6.1,shell,
source_econ_config_v6.1_gambella,EACS configuration component adapted to the Gambella region (version 6.1),Code for creating an encapsulation of EACS for a model configuration (version 6.1 and Gambella region),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/economicGambela-6.1.0,shell,
source_econ_config_v6.1_single_crop,EACS configuration component (version 6.1 of code for only maize),Code for creating an encapsulation of EACS for a model configuration (version 6.1 only maize),https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1_single_crop,shell,
source_econ_config_v7,EACS configuration component (version 7),Code for creating an encapsulation of EACS for a model configuration (version 7),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/economic-v7,shell,
source_fsi_comp,Flood severity index component code,Flood severity index component code,https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/fsi-1.0.0,shell,
source_hand_v1,HAND component,HAND component,https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/HAND-v1,shell,
source_pihm_config_v2,PIHM configuration component code,Code for creating an encapsulation of PIHM for a model configuration (PIHM v2),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/pihm-v2,shell,
source_pihm_config_v4,PIHM++ configuration component code,Code for creating an encapsulation of PIHM for a model configuration (PIHM++),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/pihm-v4,shell,
source_pihm_config_v4.1.0,PIHM++ configuration component code,Code for creating an encapsulation of PIHM for a model configuration (PIHM++),https://github.com/mintproject/MINT-WorkflowDomain/tree/master/WINGSWorkflowComponents/pihm-4.1.0,shell,
source_topoflow36,Topoflow component,Topoflow component,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/topoflow-3.6.0-precipitation/,shell,
swat_source,SWAT source  code,SWAT source  code,https://bitbucket.org/blacklandgrasslandmodels/modular_swatplus/src/master/,Fortran 90,
topoflow_source,Topoflow source code,Topoflow source code,https://github.com/peckhams/topoflow,python3.6,https://github.com/peckhams/topoflow/blob/master/LICENSE.txt
topoflow_sourceCode_v3.6,Topoflow source code (v 3.6),Topoflow source code (v3.6),https://github.com/peckhams/topoflow/,python3.6,https://github.com/peckhams/topoflow/blob/master/LICENSE.txt
