https://w3id.org/okn/o/sd#Parameter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasDataType,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#recommendedIncrement,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sdm#relevantForIntervention,https://w3id.org/okn/o/sd#adjustsVariable,https://w3id.org/okn/o/sd#hasFixedValue,https://w3id.org/okn/o/sd#hasAcceptedValues
00bd7ecc-ea2d-4b58-9938-5b0aa0b21f19,,end_date,,,2014-08-02 00:00:00,,,3,,,,,,
01391aa4-aedc-45ab-b16a-b2c6c4f0e733,,DEM_xres_arcsecs,,,30,,,6,,,,,,
016055f4-c588-408e-81f4-fec99c9bf19b,,unit_multifier,,,3600,,,8,,,,,,
029fce7e-261a-4b2f-b446-73888a5ef3e6,,csv_output_file,,string,/tmp/mint/output.zip,,,8,,,,,,
039f0a85-6c61-4279-a9d4-89e450b3464f,,data_set_id,,,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
043fd270-811e-4e18-875d-a14e65a5dbf1,,data_set_id,,,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
0488ebb5-fb28-442e-b2a3-5fe46ea26aa4,,end_date,,,2014-08-02 00:00:00,,,3,,,,,,
04ef64d0-239e-4e29-823f-2b33cce0e38d,,DEM_xres_arcsecs,,,30,,,6,,,,,,
066489dd-1aae-494a-9fc0-1eb7478da1f7,,end_date,,,2014-08-02 00:00:00,,,3,,,,,,
067340a3-52eb-4186-9e18-f97847f3a2c1,,DEM_yres_arcsecs,,,30,,,7,,,,,,
0681dd95-0816-43ca-a6cf-9cd8946aa7d8,,DEM_xres_arcsecs,,,30,,,6,,,,,,
06878229-9bc7-4a5f-a4ab-a80a3bfc2f1d,,variable,,,atmosphere_water__rainfall_mass_flux,,,4,,,,,,
072372be-cc01-4e8b-9918-20e3680f7442,,DEM_yres_arcsecs,,,30,,,7,,,,,,
08021385-95d4-4c38-a717-8ccdbc1c20f1,,unit_multifier,,,3600,,,8,,,,,,
08486102-cab3-4711-98c5-1c65a35a8c09,,DEM_xres_arcsecs,,,30,,,6,,,,,,
0901c5f6-1bb9-40d9-8036-0e167a0b3959,,variable,,,atmosphere_water__rainfall_mass_flux,,,4,,,,,,
09b069dd-6cf2-4c88-9e80-fdf7af80d51a,,end_date,,,2014-08-02 00:00:00,,,3,,,,,,
09e64aef-517d-48b2-8067-64a1a066f71f,,variable,,,atmosphere_water__rainfall_mass_flux,,,4,,,,,,
0ce766cc-71be-4ac6-8f9b-d166d964b166,,data_set_id,,,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
0e2ee28b-e471-4f02-8b57-ec8094c7d668,,unit_multifier,,,3600,,,8,,,,,,
0fa24933-9e29-4f7a-8566-15e7b7b1e2b3,,start_date,,,2014-08-01 00:00:00,,,2,,,,,,
0fc97cba-aa51-4dc8-86d5-692f111f23aa,,data_set_id,,,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
0fcca860-33d9-44ce-b40f-b1bec8c2a248,,DEM_xres_arcsecs,,,30,,,6,,,,,,
0ff0f702-859e-4068-b559-c2fcf372a41b,,DEM_xres_arcsecs,,,30,,,6,,,,,,
108c7843-dacd-44fa-bbba-561c140e14c7,,end_date,,,2014-08-02 00:00:00,,,3,,,,,,
10a5df5c-4731-43a3-b9d8-395cb7c77807,,start_date,,,2014-08-01 00:00:00,,,2,,,,,,
