https://w3id.org/okn/o/sdm#Process,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sdm#influences
constr_max_net_revenue_process,Constrained maximization of net revenue,
crop_prices_process,Crop prices,fertilizer_use_process;land_use_process
crop_supply_process,Crop supply,
crop_yield_elasticity_process,Crop yield elasticity,crop_yield_process;fertilizer_use_process;land_use_process
crop_yield_process,Crop yield,crop_supply_process
cycles_Nmineralizationandimmobalization_process,Nitrogen mineralization and immobalization,cycles_Ntransport_process
cycles_Ntransport_process,Nitrogen transport,
cycles_Nuptake_process,Nitrogen uptake,cycles_Ntransport_process
cycles_biomassgrowth_process,Biomass growth,cycles_transpiration_process;cycles_humification_process;cycles_respiration_process
cycles_cropGrowth,Crop growth,cycles_grain_yield
cycles_humification_process,Humification,cycles_Nmineralizationandimmobalization_process
cycles_management_process,Management,cycles_biomassgrowth_process
cycles_percolation,Percolation,cycles_avg_no3_leach;cycles_avg_nh4_leach;cycles_nh4_leaching;cycles_no3_leaching
cycles_precipitation_process,Precipitation,cycles_transpiration
cycles_respiration_process,Respiration,cycles_Nmineralizationandimmobalization_process
cycles_solarradiation_process,Solar radiation,cycles_biomassgrowth_process;cycles_transpiration_process
cycles_transpiration_process,Transpiration,cycles_biomassgrowth_process;cycles_Nuptake_process
fertilizer_prices_process,Fertilizer prices,fertilizer_use_process;land_use_process
fertilizer_use_process,Fertilizer use,crop_yield_process;land_use_process
hand_distance_down,Distance down,
land_use_process,Land use,crop_supply_process;crop_yield_process;fertilizer_use_process
modflow_gwf,Ground water flow,
pihm_evaporation_process,Evaporation,pihm_infiltration_process;pihm_runoff_process
pihm_infiltration_process,Infiltration,pihm_runoff_process
pihm_precipitation_process,Precipitation,pihm_infiltration_process;pihm_runoff_process
pihm_runoff_process,Runoff,
pihm_solarradiation_process,Solar radiation,pihm_evaporation_process;pihm_transpiration_process
pihm_transpiration_process,Transpiration,pihm_infiltration_process;pihm_runoff_process
topoflow_precipitation,Precipitation,
topoflow_evap,Evapotranspiration,
topoflow_channel,Channel flow,
topoflow_runoff,Water runoff,
