https://w3id.org/okn/o/sd#Organization,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#name,https://w3id.org/okn/o/sd#identifier,https://w3id.org/okn/o/sd#website
colorado_university,University of Colorado-Boulder,University of Colorado-Boulder,https://www.wikidata.org/wiki/Q736674,https://www.colorado.edu/
darpa,Defense Advanced Research Projects Agency,Defense Advanced Research Projects Agency,https://www.wikidata.org/wiki/Q207361,https://www.darpa.mil/
dssat_foundation,DSSAT organization,DSSAT organization,,https://dssat.net
erc,European Research Council,European Research Council,,https://erc.europa.eu/
icasa,International Consortium for Agricultural Systems Applications (ICASA),International Consortium for Agricultural Systems Applications (ICASA),https://uia.org/s/or/en/1100063154,
kimetrica,Kimetrica,Kimetrica,,https://kimetrica.com/
nsf,National Science Foundation,National Science Foundation,https://www.wikidata.org/wiki/Q304878,https://www.nsf.gov/
penn_state_university,The Pennsylvania State University,The Pennsylvania State University,https://www.wikidata.org/wiki/Q739627,https://www.psu.edu/
snsf,Swiss National Science Foundation,Swiss National Science Foundation,,http://www.snf.ch/en/Pages/default.aspx
snwf,,,,
tamu_agrilife,Texas A&M AgriLife Research,Texas A&M AgriLife Research,,https://agriliferesearch.tamu.edu/
texas_university,Texas A&M University,Texas A&M University,https://www.wikidata.org/wiki/Q49212,https://www.tamu.edu/
usaid,,,,
usc,University of Southern California,University of Southern California,https://www.wikidata.org/wiki/Q4614,https://usc.edu/
usda,USDA Agricultural Research Service (USDA-ARS),USDA Agricultural Research Service (USDA-ARS),,
usgs,US Geological survey,US Geological survey,,https://www.usgs.gov/s
utah_university,University of Utah,University of Utah,https://www.wikidata.org/wiki/Q168515,https://www.utah.edu/
virginia_tech,Virginia Tech,Virginia Tech,https://www.wikidata.org/wiki/Q65379,https://vt.edu/
