https://w3id.org/okn/o/sd#DatasetSpecification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#hasDimensionality,https://w3id.org/okn/o/sd#hasFixedResource,https://w3id.org/okn/o/sd#hasFormat,https://w3id.org/okn/o/sd#hasPresentation,https://w3id.org/okn/o/sd#hasDataTransformation,https://w3id.org/okn/o/sd#hasDataType,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sd#isTransformedFrom
014b4d91-632a-499f-a9f1-f7f2b9f81667,,aggregated_zip,Topoflow aggregated inputs for the target region,1,0,ae31a487-5041-4118-9128-877f59160961,zip,topo_nval;topo_p,,,,,,,
07731d05-5062-416a-9eca-1cf7298d283a,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,b3b0b491-bd90-4d4f-a82e-77d1969267b2,tif,hand_dem,,,,,,,
0e407070-2f3f-4f72-9a03-4f7639b07f1d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,33b67344-b83b-4fd1-97db-5f4bea1b825a,tif,hand_dem,,,,,,,
1654ae49-a538-4857-b749-7af41d4f602e,,aggregated_zip,Topoflow aggregated inputs for the target region,1,0,fd0b0c86-3063-4455-992c-6ca545eae1d1,zip,topo_nval;topo_p,,,,,,,
1999606b-ec47-44a0-89a7-f35642eca247,,ground_water_flow_field_viz,groundwater flow field,5,0,,png,67afdfe0-d590-4aee-9393-57ac48fbd0ca,,,,,,,
20733417-9c0a-45e3-9315-6bc3dc402dd7,,__met_zip,Precipitation rates (RTS files compressed in .tar.gz),2,0,78dc1259-54d0-439e-bbcc-56192cd1f664,zip,topo_p,,,,,,,
21caa45f-49ae-4ae4-8871-0bbfc4dc722f,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,0d66091b-8983-4dab-9cad-3ddd0d55dfbf,tif,hand_dem,,,,,,,
2631e277-cde2-44d5-afd1-efe41b18ee8c,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,2eeb018a-8b42-497b-bcf5-be4ff2c5ad82,tif,hand_dem,,,,,,,
2aeaeb95-9810-4584-a63d-9f2b702c32dd,,aggregated_zip,Topoflow aggregated inputs for the target region,1,0,,zip,topo_nval;topo_p,,,,,,,
2b8e2c42-bc43-497f-a445-f83e51b6640d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,13c1f934-21e7-47b8-b26a-3b93f1f8f8ec,tif,hand_dem,,,,,,,
2d49e6a2-9d56-488a-860e-b591fae1fa3e,,__met_zip,Precipitation rates (RTS files compressed in .tar.gz),2,0,e444a142-f929-4c72-9ca4-70f677766bc8,zip,topo_p,,,,,,,
380e194e-9c3c-41b3-b3ab-a81c7632f1b1,,aquifer_file_case2,File for case2,2,0,,none,,,,,,,,
38978188-a8b4-48fc-a8c1-f20f6c4caeab,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,175bf51f-967f-443c-8b02-72392486a088,tif,hand_dem,,,,,,,
39b42f57-ab86-4fc5-9fd5-b47d9c275244,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,e2e28ac9-37d6-423a-a532-d57e62588c9a,tif,hand_dem,,,,,,,
3bd57161-5fab-4fa1-9f4b-ed6f608329c6,,break_through_curve_viz,break through curve,5,0,,png,c362ef84-c43c-4db2-b881-d3fe468c1aed,,,,,,,
4488afee-dd22-4611-bcd6-8cac734d3d86,,aquifer_file_case2,File for case2,2,0,22d03538-11d2-46c3-ad9d-ff1a896eb0f8,none,,,,,,,,
44b21347-8b6e-4dc7-8708-dd5f9c960dfd,,aquifer_file_case1,File for case1,3,0,,none,,,,,,,,
492c8110-9047-4f0e-a57b-d6e9970cec27,,test1_0d-q_1_txt,Topoflow aggregated outputs,1,0,,zip,fsi_q,,,,,,,
4d84a200-ecb3-41a0-bccc-1458c2e3e07c,,break_through_curve_viz,,2,,,unknown,,,,,,,,
4dab822e-8b4d-430b-959b-71279a986ec9,,ground_water_flow_field_viz,,3,,,unknown,,,,,,,,
4e9614d0-c0de-4d35-8f9a-cd54fc9a10a1,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,,tif,hand_dem,,,,,,,
597c5ac6-78ae-4c77-8da7-ab03f09f167d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,4c234618-d52f-412a-8f5f-1071a8b1b1bd,tif,hand_dem,,,,,,,
5a513a74-df09-4ce2-a9ae-6d67a12dbf02,,aquifer_file,Aquifer file,1,0,,none,,,,,,,,
5b4c7de0-f3e6-460e-affd-098e59eeb1cd,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,1846f418-9c68-4405-8967-52ea04a0fb82,tif,hand_dem,,,,,,,
5e72eabc-98ce-49ea-bdd3-0eb2775a4cf8,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,3704fe74-2438-4cf0-b31d-891dbdb5bc2b,tif,hand_dem,,,,,,,
635f2a50-299d-4bc1-9b83-3f340d4507ba,,aquifer_file_case1,,2,,,unknown,,,,,,,,
66cbe709-d767-46c1-a20f-d8218ebcfaf6,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,aca40a22-b81c-4f92-88c7-1d436b91ae90,tif,hand_dem,,,,,,,
71b63cc5-4563-4f67-a5e3-095425811d77,,output_csv,,1,,,csv,,,,,,,,
72f22c9d-5467-4c61-9c83-1c919bcc1833,,aquifer_file_case1,File for case1,3,0,0c4a9b59-a97a-4f9e-9868-e6aed7cb932d,none,,,,,,,,
7c7daafa-f041-488a-8ee3-bec105bb93cc,,outputs1_rts,,3,,,rts,,,,,,,,
801d1cc8-eab8-4e82-9bbe-0d258ec8c784,,aquifer_file,Aquifer file,1,0,,none,,,,,,,,
876a9582-0cad-4c7c-b8f8-ab7d7ff03bfe,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,e13792b2-2d5e-4296-9766-d8aec3d8f8c5,tif,hand_dem,,,,,,,
8caeca91-97aa-4912-b2c8-1f51eefc7af2,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,f65e15d6-0779-4fcd-8a88-0fe919004604,tif,hand_dem,,,,,,,
94986391-2bf5-4c2b-a035-9e01e961c15e,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,41b68325-9519-4296-b403-689f4a7c35d0,tif,hand_dem,,,,,,,
9a10733a-a9b5-4bc2-ac44-5d8cd6da844b,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,82fb8628-7b80-4402-ae00-3b9198f3985d,tif,hand_dem,,,,,,,
9d737b07-997a-40fe-93b1-9b53f2188936,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,9c81463e-2d1b-4f52-af7a-ddafc9d7b5d4,tif,hand_dem,,,,,,,
9e0aaa99-7ea4-4317-8f8a-c5a5ded0d560,https://w3id.org/wings/export/MINT#Data,data,Data input,1,0,99b62e70-ccce-4ecd-abe5-134eb96e5ace,nc,,,,,,,,
9e9a653a-3916-4c14-8439-22c14c2c5bd1,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,08ca15e9-ab93-45de-b04b-52df7b658d00,tif,hand_dem,,,,,,,
9faf02f5-c6e2-4aef-9890-6cdd98dfd3af,,mt3d001,MT3D result,5,0,,UCN,,,,,,,,
DSSAT_simulationFile,https://w3id.org/wings/export/MINT#DSSAT_SIMULATION,DSSAT simulation file,DSSAT simulation file,,0,,x,DSSAT_YCRD;DSSAT_CR;DSSAT_FDEP;DSSAT_SNO3;DSSAT_XCRD;DSSAT_PLDP;DSSAT_SNH4;DSSAT_ICBL;DSSAT_FDATE;DSSAT_SH2O;DSSAT_FAMN;DSSAT_PDATE;DSSAT_PPOP;DSSAT_INGENO;DSSAT_PLRS,,,,,,,
DSSAT_sol,https://w3id.org/wings/export/MINT#Soil,DSSAT soil file,DSSAT soil file,,0,,sol,DSSAT_SDUL;DSSAT_SSKS;DSSAT_SSAT;DSSAT_SLSI;DSSAT_SALB;DSSAT_SLLL;DSSAT_SLB;DSSAT_SBDM;DSSAT_SLOC;DSSAT_SLCL,,,,,,,
DSSAT_summary,https://w3id.org/wings/export/MINT#Summary,DSSAT Summary file,DSSAT Summary file,,0,,csv,DSSAT_hwam;DSSAT_cwam,,,,,,,
DSSAT_weatherFile,https://w3id.org/wings/export/DSSAT_WEATHER,DSSAT weather file,DSSAT weather file,,0,,wth,DSSAT_TMAX;DSSAT_TMIN;DSSAT_WSTA;DSSAT_LAT;DSSAT_TAV;DSSAT_RAIN;DSSAT_SRAD;DSSAT_LONG,,,,,,,
a0ee2973-cf47-421d-a446-fa62b31e7e62,,outputs1_rti,,1,,,rti,,,,,,,,
a3d134d4-a747-4ee2-b98a-d1077866ef2d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,b44fb840-2526-4457-b6eb-7ac41f1724eb,tif,hand_dem,,,,,,,
aa148269-538b-4f35-86b4-660b08fc8949,,aggregated_zip,,1,,54b51119-69db-424a-af74-b4cddafc8f41,zip,,,,,,,,
ab879f60-0861-4a66-8599-87642992db32,,aquifer_file,Aquifer file,1,0,239c8b99-bcae-4181-a35b-c5d20f3eb5e0,none,,,,,,,,
ac85f637-28a5-4a1d-9f78-2dfa748b8385,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,610ee49a-5802-4648-b855-e5b44d8476bf,tif,hand_dem,,,,,,,
b2e32dff-6ba5-410b-826c-a14a4687e200,,aquifer_file_case2,File for case2,2,0,,none,,,,,,,,
bedf1f93-7c30-4b2c-abb1-e16f034e8bff,,aquifer_file_case2,,3,,,unknown,,,,,,,,
c03864aa-0476-423d-87d0-4452fb5cd0b3,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,89a10710-2185-48d4-91fe-7dbd7b3a781e,tif,hand_dem,,,,,,,
c53703dc-b052-4d20-ba10-c90f7945d6db,,__met_zip,Precipitation rates (RTS files compressed in .zip),2,0,,zip,topo_p,,,,,,,
ccff3fb6-3e33-4571-834c-33427869688b,,aquifer_file,Aquifer file,1,0,,none,,,,,,,,
cf7815c9-dba8-4b7a-b8f1-43dfffb28f6b,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,9c3acb1a-ea90-4b5c-963d-896b10c8bcf5,tif,hand_dem,,,,,,,
climcomp_FLDAS_P,https://w3id.org/wings/export/MINT#FLDAS,weather,FLDAS weather data,1,0,,netcdf,fldas_SoilTemp00_10cm_t;fldas_SoilTemp100_200cm;fldas_SoilMoi00_10cm_ta;fldas_Lwnet_tavg;fldas_Qs_tavg;fldas_Rainf_f_tavg;fldas_SoilMoi40_100cm_t;fldas_SWdown_f_tavg;fldas_SoilTemp40_100cm_;fldas_SM01_Percentile;fldas_SoilMoi10_40cm_ta;fldas_RadT_tavg;fldas_Swnet_tavg;fldas_Wind_f_tavg;fldas_Qle_tavg;fldas_Qair_f_tavg;fldas_Qh_tavg;fldas_SoilTemp10_40cm_t;fldas_SoilMoi100_200cm_;fldas_Psurf_f_tavg;fldas_Qg_tavg;fldas_LWdown_f_tavg;fldas_Evap_tavg;fldas_Qsb_tavg;fldas_Tair_f_tavg,,,,,,,
climcomp_FLDAS_T,https://w3id.org/wings/export/MINT#FLDAS,weather,FLDAS weather data,1,0,,netcdf,fldas_SoilTemp00_10cm_t;fldas_SoilTemp100_200cm;fldas_SoilMoi00_10cm_ta;fldas_Lwnet_tavg;fldas_Qs_tavg;fldas_Rainf_f_tavg;fldas_SoilMoi40_100cm_t;fldas_SWdown_f_tavg;fldas_SoilTemp40_100cm_;fldas_SM01_Percentile;fldas_SoilMoi10_40cm_ta;fldas_RadT_tavg;fldas_Swnet_tavg;fldas_Wind_f_tavg;fldas_Qle_tavg;fldas_Qair_f_tavg;fldas_Qh_tavg;fldas_SoilTemp10_40cm_t;fldas_SoilMoi100_200cm_;fldas_Psurf_f_tavg;fldas_Qg_tavg;fldas_LWdown_f_tavg;fldas_Evap_tavg;fldas_Qsb_tavg;fldas_Tair_f_tavg,,,,,,,
climcomp_P_climatology,https://w3id.org/wings/export/MINT#ClimcompClimatology,climatology,Precipitation output from climcomp,2,0,,csv,climcomp_P,,,,,,,
climcomp_P_summary,https://w3id.org/wings/export/MINT#ClimcompSummary,summary,Precipitation output from climcomp,1,0,,csv,climcomp_P,,,,,,,
climcomp_T_climatology,,,,,,,,,,,,,,,
climcomp_T_summary,https://w3id.org/wings/export/MINT#ClimcompSummary,summary,temperature output to climcomp,1,0,,csv,climcomp_T,,,,,,,
crop_yield_merged,https://w3id.org/wings/export/MINT#CropYield,crop_yield_merged,Crop yield merged,,0,,csv,econ_ybarN,,,,,,,
crop_yields,https://w3id.org/wings/export/MINT#CropYield,crop_yields,Crop yield,,1,,csv,econ_ybarN,,,,,,,
cycles-0.10.2-alpha-collection-oromia-single-point_crop,https://w3id.org/wings/export/MINT#CyclesCropOutput,cycles_crop,Cycles crop output file,3,0,,dat,cycles_root_biomass;cycles_total_n;cycles_crop_v;cycles_root_n;cycles_date;cycles_potential_tr;cycles_cum._biomass;cycles_thermal_time;cycles_n_fixation;cycles_n_stress;cycles_frac_intercep;cycles_ag_n_concn;cycles_stage;cycles_n_added;cycles_water_stress;cycles_ag_biomass;cycles_ag_n,,,,,,,
