https://w3id.org/okn/o/sd#FundingInformation,https://w3id.org/okn/o/sd#fundingSource,https://w3id.org/okn/o/sd#fundingGrant
CYCLES_funding,usda;nsf,USDA AFRI OREI #2014-51300-22231 USDA AFRI Climate #2014-68002-21768 NESARE #LNE18-367-32231 NSF CNH #1517823 EPA #
ClimComp_funding,darpa,
DSSAT_4.7_funding,usgs,
DSSAT_funding,usaid,
EACS_2.0_funding,darpa,
EACS_6.0_funding,darpa,
EACS_6.1_funding,darpa,
ECONOMIC_AGGREGATE_CROP_SUPPLY_funding,darpa,
HAND_funding,,
KIMETRICA_LAND_USE_funding,nsf,
MODFLOW_funding,usgs,
PIHM_funding,nsf,
SWAT_funding,usda;tamu_agrilife,
TOPOFLOW_funding,nsf,
WGEN_funding,erc;snwf,
kimetrica_0.0_funding,darpa,
modflow_2005_funding,darpa,
wgen_1.0.1_funding,darpa,
