https://w3id.org/okn/o/sdm#ModelConfiguration,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasImplementationScriptLocation,https://w3id.org/okn/o/sd#hasInput,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasSoftwareImage,https://w3id.org/okn/o/sd#hasBuildFile,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#usefulForCalculatingIndex,https://w3id.org/okn/o/sdm#hasCausalDiagram,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sdm#hasOutputTimeInterval,https://w3id.org/okn/o/sdm#hasProcess,https://w3id.org/okn/o/sd#hasSetup,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sdm#hasRegion,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#tag,https://w3id.org/okn/o/sd#hasConstraint,https://w3id.org/okn/o/sd#hasSupportScriptLocation,https://w3id.org/okn/o/sd#hadPrimarySource,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#website
1813f422-8fc5-4e20-9948-1f83234d66fd,,GHOST - Clear Creek,"The Clear Creek Watershed (CCW) includes activities in the upper watershed to reduce flooding and improve water quality, as well as infrastructure projects in the city of Coralville to protect commercial and residential property from flooding.

The Clear Creek Watershed covers 66,132 acres (104 square miles), spanning parts of Iowa and Johnson counties in Southeast Iowa. Clear Creek empties into the Iowa River at Coralville. The watershed lies entirely within the Southern Iowa Drift Plain, comprised of glacial deposits broken up by many small creeks that have molded the landscape into rolling hills and valleys. Abundant rainfall and fertile soils allowed the conversion of the natural prairie and forested landscape to large-scale intensive agriculture, consisting mainly of a corn-soybean rotation. Eighty-four percent of cropland in the upper portions of the watershed is classified as highly erodible. Intensive agriculture on these soils in a moist climate, coupled with stream channelization in the headwaters and increasing urbanization in the lower portions of the watershed, contribute to flash flooding and water-quality degradation after intense spring storms.

The city of Coralville is set along Clear Creek where it joins the Iowa River, leaving it particularly vulnerable to flooding. Recent floods have had a devastating impact on the local economy, causing many businesses to relocate. Unprotected storm sewer discharge points along the creeks and river leave systems vulnerable to backwater. The city determined that it was imperative to construct flood mitigation projects, especially for the existing storm sewer system, to protect businesses and residents from future floods. The Iowa Watershed Approach will provide funding for the city to reconstruct Stormwater Pump Stations (PS) 7 and 8 to the same design level as all other Coralville flood mitigation projects. PS 7 protects about 42.8 acres of developed property, and PS 8 protects about 135.9 acres. This project will benefit every property owner and tenant within these regions.",,,,,,,,,,,,,,Hydrology,,,,,,,,,,,,,,https://iowawatershedapproach.org/resources/ghost/clear-creek/
37d17ee0-0ce6-4095-9f32-90c1b33859f2,,Central Valley Hydrologic Model,"CVHM Components 1. Geospatial Database A Geographic Information System (GIS) was used to compile, manage, store, and analyze the large quantities of data in the geospatial database needed to run the model, and to understand and visualize the data output. 2. Texture Model The texture model is key to understanding how water moves through the Central Valley groundwater system. Scientists developed the geologic texture model to describe the coarseness or fineness of valley-fill materials that make up the aquifer system, and then used it to estimate hydraulic properties for every cell in the model grid. To create the model, lithologic data from approximately 8,500 drillers' logs of boreholes ranging in depth from 12 to 3,000 feet below land surface, along with other information, were compiled and analyzed. 3. Farm Process The complex hydrologic system of the Central Valley is simulated using the USGS hydrologic modeling software, MODFLOW. Combined with the Farm Process, MODFLOW simulates natural and human-induced water movement and consumption over the landscape and accounts for supply-constrained and demand-driven conjunctive use of surface and groundwater in agricultural, urban, and natural settings. For the Central Valley, the tool simulates unmetered historical pumping and surface-water deliveries for 21 water-balance regions for water years 1962 to 2003. 4. Numerical Model A numerical groundwater-flow model capable of being accurate at scales relevant to water-management decisions was developed for the Central Valley, California. The modeling software is MODFLOW2000 with the Farm Process (FMP).",7ada3329-1e8b-41f0-9a5a-bd4d31e59827,,,,,,,,,"Hydrology, Agriculture, Geospatial Database, Texture Model, Farm Process, Numerical Model",,,,Hydrology,,,,,,,,,,,,,,
46fd5e0a-6819-4646-b468-9ba268364ccf,,GHOST - Middle Cedar,"The Middle Cedar River Watershed (MCWMA) is a 1.5M-acre watershed that spans parts of 10 counties in Eastern Iowa. It encompasses primarily the Iowan Surface landform, characterized by long, gently rolling hills and well-developed stream networks. The MCRW is part of the Cedar River Basin that stretches from Minnesota to Southeast Iowa, where it meets the Iowa River. The MCRW includes some of the richest farmland in the nation. Seventy-three percent of the land is dedicated to row crop agriculture and seed corn production. The MCRW also supports a substantial portion of Iowa’s urban areas, including Cedar Rapids, Waterloo, and Cedar Falls.

In 2013, the MCRW was identified as a priority watershed under the Iowa Nutrient Reduction Strategy. The statewide Water Quality Initiative (WQI) selected five HUC 12s in the Middle Cedar for initial implementation of projects aimed at improving water quality. The City of Cedar Rapids helped secure $2M through the USDA-NRCS as part of the Regional Conservation Partnership Program (RCPP) for a program called the Middle Cedar Partnership Project (MCPP). The MCPP leveraged $2.3M in partner contributions. The WQI, MCPP, and IWA projects in the Middle Cedar complement one another and will work together to reduce downstream flooding and improve water quality.

A Middle Cedar Watershed Management Authority (WMA) was formed in 2016 to bring partners together to address watershed concerns.",,,,,,,,,,,,,,Hydrology,,,,,,,,,,,,,,https://iowawatershedapproach.org/resources/ghost/middle-cedar-river/
47aed31f-7b5a-4d8a-a496-86065b0b9a1a,,GHOST - Upper Iowa,"The 1,000-square-mile (640,900 acres) Upper Iowa River originates in Minnesota, but 78% of its watershed is in Northeast Iowa. The Upper Iowa River Watershed (UIRW) is part of the Driftless Region of Iowa. Its karst topography features limestone bluffs that rise 250 to 450 feet above the valley floor, dozens of coldwater trout streams, nearly 3,000 sinkholes and waterfalls, and hundreds of springs. Cropland accounts for more than 40% of the watershed, which also includes grassland (35%) and hardwood forests (19%). The EPA and Iowa recognize the UIRW as a Priority Watershed. Iowa designates 244 miles of the Upper Iowa River as High-quality Resource Waters or High-quality Waters, and the Upper Iowa was among the initial rivers included in the National Wild and Scenic River System.

The UIRW is a popular tourist destination. It has excellent walleye and bass fishing, but is best known for its 152 miles of coldwater trout steams, which lure anglers from around the world. More than 150 protected species of animals and plants live in the watershed, which also harbors endangered ecosystems. Unfortunately, frequent flooding and severe erosion are causing serious damage to the streams and rivers.",,,,,,,,,,,,,,Hydrology,,,,,,,,,,,,,,https://iowawatershedapproach.org/resources/ghost/upper-iowa-river/
57718a24-be82-4acd-9e07-bddba2f75738,,topoflow v3.6-3.0.0 with precipitation rates,A basic configuration of the TopoFlow model (v36-3.0.0) aggregating al inputs as a zip file and allowing changing precipitation rates and start/end and time stamp for simulation,peckham_scott;osorio_maximiliano,https://raw.githubusercontent.com/mosoriob/topoflow/master/mint_component.zip,,2aeaeb95-9810-4584-a63d-9f2b702c32dd;c53703dc-b052-4d20-ba10-c90f7945d6db,492c8110-9047-4f0e-a57b-d6e9970cec27,mosorio/topoflow:20.8.27,,,"This Topoflow configuration has ISRIC with data for 7 soil layers, and using data from the top 3. The start and end dates must be compatible with the data selected. For example, if the data is from 2017 the start date cannot be 2018"" There is a 'CHECK_STABILITY' flag that you can set in some of the input configuration files (channels_kin_wave and infil_richards_1d). Since there is no way to predict stable time step size in advance, we have calculated it by trial and error to find the largest value that makes the model work. Once this value is set up, the CHECK_STABILITY flag may be switched to 'No' to speed up the execution of the model. The vertical spacing in the infiltration component (set via dz and nz) layers needs to be small to handle a wide range of rainfall values, but this means the timestep (dt) also needs to be smaller to keep the model stable","snowmelt, precipitation, evapotranspiration, infiltration, channel/overland flow, shallow subsurface flow, flow diversions",river_discharge,,topoflow_grid_general,Hydrology,topoflow_cfg_simple_TI,cycles_precipitation_process;topoflow_channel;topoflow_evap,fefdfaec-627b-4e86-b941-a1966f05f6d8;3c471dd7-0513-4577-966d-5caad12b2ad5;44613991-a670-4e9d-910a-e19b3642cce1,0f5a7881-db6a-4731-8960-23b6bd315017;1748954e-cb28-4688-a138-d062babc60e7;18ec9a27-2684-4ac6-846a-401a6b18ce19;d4510f73-1945-4e38-96f2-a596a4f6e668,Ethiopia,,,,preferred,,,, ,
DSSAT_cfg_simple,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,DSSAT simple configuration,DSSAT simple working configuration that accepts changes in weather; soil moisture and maize,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/DSSAT_config_simple/DSSAT_config_simple.zip,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/DSSAT_config_simple/run,DSSAT_simulationFile;DSSAT_sol;DSSAT_weatherFile,DSSAT_summary,mintproject/dssat:latest,,,,,,DSSAT_cfg_simple_CAG,,Agriculture,,,,,,,,,,,,,,
bd33998b-a37e-4184-b017-2893fa5a30f3,,GHOST - Upper Wapsipinicon,"The Upper Wapsipinicon River Watershed (UWRW) begins in Southeast Minnesota. This long, narrow watershed is located in the northeast corner of Iowa and encompasses 991,980 acres, touching portions of 11 Iowa counties. The watershed lies in the Iowan Surface Region, characterized by broad, gently-rolling slopes and heavily wooded floodplains. The watershed is more than 85% row crop, pasture, or grass and is heavily used for recreation, including fishing, canoeing, hunting, and wildlife watching. According to a survey by ISU’s Center for Agriculture and Rural Development, visitors made approximately 226,801 trips to the Upper Wapsipinicon River in 2009 and spent $6M on outdoor recreation activities.

The Wapsipinicon River is a State of Iowa Protected Water Area (PWA) known for its public greenbelt corridor, which includes floodplain forests and wetlands, steep bluffs, and wildlife habitat, all with associated water-quality benefits. The Iowa DNR found the Wapsipinicon River to have the longest continuous stretch of natural and scenic river corridor in the Iowan Surface Region. Sixteen of the 27 communities in the watershed are located on, or adjacent to, a stream or river, providing recreational and economic opportunities that are impacted by flooding. There are currently 159 miles of impaired waters in the UWRW, inclduing 17 segments of impaired streams.

In September 2014, 13 communities, eight counties, and nine Soil and Water Conservation Districts united to form the Upper Wapsipinicon River Watershed Management Authority (UWRWMA). The UWRWMA is dedicated to reducing flooding, improving water quality, and reducing in-stream sedimentation.",,,,,,,,,,,,,,Hydrology,,,,,,,,,,,,,,https://iowawatershedapproach.org/resources/ghost/upper-wapsipinicon-river/
clim_comp_P,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,ClimComp configuration for precipitation,This configuration accepts the precipitation input from FLDAS dataset,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/clim_comp/clim_comp.zip,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/clim_comp/run,climcomp_FLDAS_P,climcomp_P_summary;climcomp_P_climatology,mintproject/base-ubuntu18:latest,,,,,evapotranspiration_drought_intensity_index;standardized_precipitation_wetness_index,,,Weather,climcomp_0.0.2_P_cfg_TI,,,climcomp_datasource;climcomp_flagP;climcomp_max_lat;climcomp_min_month;climcomp_max_lon;climcomp_min_lat;climcomp_max_month;climcomp_year;climcomp_min_lon,,,,,,,,,,
clim_comp_T,https://w3id.org/okn/o/sdm#EmpiricalModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,ClimComp configuration for temperature,This configuration accepts the temperature input from FLDAS data,,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/clim_comp/clim_comp.zip,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/clim_comp/run,climcomp_FLDAS_T,climcomp_T_summary;climcomp_T_climatology,mintproject/base-ubuntu18:latest,,,,,evapotranspiration_drought_intensity_index;standardized_precipitation_wetness_index,,,Weather,climcomp_0.0.2_T_cfg_TI,,,climcomp_datasource;climcomp_max_lat;climcomp_min_month;climcomp_max_lon;climcomp_min_lat;climcomp_max_month;climcomp_year;climcomp_min_lon;climcomp_flagP_T,,,,,,,,,,
cycles,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#SoftwareConfiguration,Cycles configuration (v0.9.3),Cycles (version 0.9.3) simple configuration,mayani_rajiv,https://github.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles/cycles.zip,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles/cycles/run,cycles_reinit;cycles_config;cycles_weather;cycles_soil,cycles_water;cycles_seasonConfig;cycles_season;cycles_crop;cycles_weatherOutput;cycles_nitrogen;cycles_soilProfile;cycles_summary;cycles_somF,mintproject/cycles:0.9.3-alpha,,source_cycles_config,,agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,,cycles_planting-day-1;cycles_planting-day-1-duration;cycles_planting-day-2;cycles_planting-day-2-duration,,,,,,,https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles/cycles/SS_base.operation;https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles/cycles/SS_crops.crop;https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles/cycles/__pegasus-job.properties;https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles/cycles/io.sh;https://raw.githubusercontent.com/KnowledgeCaptureAndDiscovery/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles/cycles/SS_base.ctrl,,,
