https://w3id.org/okn/o/sdm#ModelConfigurationSetup,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#status,https://w3id.org/okn/o/sd#adjustableParameter,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasBuildFile,https://w3id.org/okn/o/sd#hasImplementationScriptLocation,https://w3id.org/okn/o/sd#hasInput,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sd#hasSoftwareImage,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#usefulForCalculatingIndex,https://w3id.org/okn/o/sdm#hasCausalDiagram,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sdm#hasOutputTimeInterval,https://w3id.org/okn/o/sdm#hasProcess,https://w3id.org/okn/o/sdm#hasRegion,https://w3id.org/okn/o/sdm#parameterAssignmentMethod,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sdm#calibrationTargetVariable,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#website
01ebfec2-a192-4c4b-a905-37aba583c31b,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND model configuration setup (v2) generating raster data. Muger basin (Ethiopia),Configuration of the HAND model for creating flood estimates of the Muger region in Ethiopia. The output is an image with the distance down representing the flooding impact. A raster image is generated as an output,non-editable,,garijo_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,38978188-a8b4-48fc-a8c1-f20f6c4caeab,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,3ddc8326-bc8f-48fd-98d4-9d18224b6015,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,Ethiopia,Expert-configured,,,,,
1727b1d9-e9d2-4a82-8c7c-188c8cf140b2,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND model configuration setup (v2) generating raster data. Awash basin (Ethiopia),Simple configuration of the HAND model for creating flood estimates of the Awash region in Ethiopia. The output is an image with the distance down representing the flooding impact. A raster image is also generated as output.,non-editable,,garijo_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,8caeca91-97aa-4912-b2c8-1f51eefc7af2,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,ad75375f-0bae-4e43-a5a4-0e001326f822,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,Ethiopia,Expert-configured,,,,,
1d959fa7-c8c4-4a8a-8620-d535526979d3,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND v2 generating raster data for NA-Cherry_Creek_SW-120902050408,"Version 2 of HAND, generating a raster image for the region NA-Cherry_Creek_SW",non-editable,,garijo_daniel;3f252726-f632-4cb6-ace3-018adc66a460,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,9d737b07-997a-40fe-93b1-9b53f2188936,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,6164372a-5f4f-4fb7-a392-14b15a8b8fff,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,Texas,Expert-configured,,,,,
2ae2f420-dad6-4e3c-a533-77f5186f1898,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND -v2 with raster - Travis - 10 m,HAND live demo Setup for Travis,non-editable,,garijo_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,9a10733a-a9b5-4bc2-ac44-5d8cd6da844b,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,20ad21d5-07f1-4c58-aedb-766d1ab6991a,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,Texas,Expert-configured,,,,,
3c471dd7-0513-4577-966d-5caad12b2ad5,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,baro,baro,non-editable,,,https://raw.githubusercontent.com/mosoriob/topoflow/master/mint_component.zip,,,f82217c3-3f68-40fe-a98c-5de25f05aded;aa148269-538b-4f35-86b4-660b08fc8949,492c8110-9047-4f0e-a57b-d6e9970cec27,910696ba-576c-4f85-bdd5-8f164f3fa181;bc315bde-7c85-4bcf-ae31-a09a08b64f86;2d33fa0d-7280-4a31-a99e-680f8f4c4e28;6a886782-e877-4c7f-95c4-c751d13075c3,mosorio/topoflow:20.8.27,,,,river_discharge,,,Hydrology,,,Ethiopia,Calibration,,,,,
4268c4ae-6a91-476c-9f0d-57643cfab6ea,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND model configuration setup (v2) generating raster data. Guder basin (Ethiopia),Simple configuration of the HAND model for creating flood estimates of the Guder region in Ethiopia. The output is an image with the distance down representing the flooding impact. An image raster is generated as an output.,non-editable,,,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,07731d05-5062-416a-9eca-1cf7298d283a,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,4a6dbf35-ad89-4444-a24b-0b1fc42861e9,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,Ethiopia,Expert-configured,,,,,
433bc0ad-9751-4e79-9472-ddc156ef46e0,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND model configuration setup (v2) generating raster data. Jamma basin (Ethiopia),Simple configuration of the HAND model for creating flood estimates of the Jamma region in Ethiopia The output is an image with the distance down representing the flooding impact and a raster image.,non-editable,,garijo_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,94986391-2bf5-4c2b-a035-9e01e961c15e,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,2231b178-2a9f-4816-92ec-6eef191bb0fc,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,Ethiopia,Expert-configured,,,,,
44613991-a670-4e9d-910a-e19b3642cce1,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup, TopoFlow model setup (v36-3.0.0) for the Baro region with pre-set GLDAS precipitation,A configuration of the TopoFlow model calibrated for the Baro region in Ethiopia with pre-set precipitation rates (compressed file) from GLDAS and parameters for start/end of the simulation. ,non-editable,fd07bd5b-f3a5-4a3e-b78d-732696e80350;a7f99380-4c97-4cdf-8156-2bc3ea45e189;4e1a8f17-e9f2-4fa8-a4b3-e1c1a8eb3c2f;6acda2ad-1580-4504-883b-4aeca814ac1c,peckham_scott;osorio_maximiliano,https://raw.githubusercontent.com/mosoriob/topoflow/master/mint_component.zip,,,20733417-9c0a-45e3-9315-6bc3dc402dd7;014b4d91-632a-499f-a9f1-f7f2b9f81667,492c8110-9047-4f0e-a57b-d6e9970cec27,fd07bd5b-f3a5-4a3e-b78d-732696e80350;a7f99380-4c97-4cdf-8156-2bc3ea45e189;4e1a8f17-e9f2-4fa8-a4b3-e1c1a8eb3c2f;6acda2ad-1580-4504-883b-4aeca814ac1c,mosorio/topoflow:20.8.27,,"This Topoflow configuration has ISRIC with data for 7 soil layers, and using data from the top 3. The start and end dates must be compatible with the data selected. For example, if the data is from 2017 the start date cannot be 2018"" There is a 'CHECK_STABILITY' flag that you can set in some of the input configuration files (channels_kin_wave and infil_richards_1d). Since there is no way to predict stable time step size in advance, we have calculated it by trial and error to find the largest value that makes the model work. Once this value is set up, the CHECK_STABILITY flag may be switched to 'No' to speed up the execution of the model. The vertical spacing in the infiltration component (set via dz and nz) layers needs to be small to handle a wide range of rainfall values, but this means the timestep (dt) also needs to be smaller to keep the model stable",snowmelt; precipitation; evapotranspiration; infiltration; channel/overland flow; shallow subsurface flow; flow diversions,river_discharge,,topoflow_grid_general,Hydrology,topoflow_cfg_simple_TI,cycles_precipitation_process;topoflow_channel;topoflow_evap,Baro,Calibration,,,," Snowmelt, Precipitation, Evapotranspiration, Infiltration, Channel/overland flow, Shallow subsurface flow, Flow diversions",
5e33859e-71ce-46e6-986d-93aa4a0befcb,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND v2 with raster output. DEM can be customized.,Setup of HAND with no input DEM pre-configured.,non-editable,,garijo_daniel;hardesty_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,4e9614d0-c0de-4d35-8f9a-cd54fc9a10a1,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,1d974b34-89fc-4b01-aba5-c83e62732482,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,,Expert-configured,,,,,
677c434e-99e2-4113-a5c4-4160f10bbb9a,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND Colorado Test setup (Texas),Colorado Test setup,non-editable,,garijo_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.5/Dockerfile,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,597c5ac6-78ae-4c77-8da7-ab03f09f167d,hand_v2_raster_geojson;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down;hand_v2_raster_shape,f751df20-b49d-4720-8b2c-b9a3f491d59a,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_distance_down,Texas,Expert-configured,,,,,
