https://w3id.org/okn/o/sd#SoftwareVersion,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasConfiguration,https://w3id.org/okn/o/sd#hasVersionId,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sd#tag,https://w3id.org/okn/o/sd#hasFunding,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDocumentation,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasExplanationDiagram
02800fa1-327b-4db9-b8f3-49920b0cdbbc,,MODFLOW2005 WITH MT3Dv.1.1.0 06/28/2019,,,,,,e6becd2c-29d1-482e-b94b-388cdc584e3a,unknown,,,,latest,,,,,,,,,,
453ac552-6de0-4172-8b7f-31dd3ab55b7d,,MODFLOW2005 WITH MT3Dv.1.1.0 06/28/2019,Coupled ModFlow-Mt3D model,,,groundwater; hydrology,,e6becd2c-29d1-482e-b94b-388cdc584e3a,06282019,,,,latest,,,,,,,,,,
49032802-8a68-4f6b-ac1b-5c0ce676e012,,Topoflow36 3.0.0,3.0.0 https://github.com/mintproject/topoflow36/releases/tag/3.0.0,,,,,57718a24-be82-4acd-9e07-bddba2f75738,Topoflow36 3.0.0,,,,latest,,,,,,,,,,
4e7e42e4-df0f-4b55-88da-55e92dfd474e,,HLM Belle Plaine,,,,,,d87447b7-5290-450b-9f5e-fdc98de5875a,Belle Plaine,,,,latest,,,,,,,,,,
5ca8f528-91bf-4001-a0dd-971a92c0d65e,,INFIL3.0 v1,,,,,,,v1,,,,latest,,,,,,,,,,
7da64f92-362a-4be4-89ac-b9e10055ca30,,v1.0,,,,,,,v1.0,,,,latest,,,,,,,,,,
ClimComp_0.0.2,https://w3id.org/okn/o/sdm#EmpiricalModel,climcompv0.0.2,,khider_deborah,,hydrology;flood map,Weather,clim_comp_P;clim_comp_T,0.0.2,,,,latest,,,,,,,,,,
DSSAT_4.7,https://w3id.org/okn/o/sdm#Theory-GuidedModel,DSSAT v4.7,,,,,Agriculture,DSSAT_cfg_simple,4.7,,,,,DSSAT_4.7_funding,,,,,,,,,
EACS_2.0,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 2.0,Initial version of the model prepared as a component for a workflow,cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economic-v2,2,,,,,EACS_2.0_funding,virginia_tech,,,,,,,,
EACS_6.0,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 6.0,Version of the model exposing fertilizer increments,zhang_zeya;cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economic-v6,6,6/24/2019,,,,EACS_6.0_funding,virginia_tech,,,,,,,,
EACS_6.1,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 6.1,Version of the model exposing increments for crops and calibration outputs,zhang_zeya;cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economicGambella-v6.1;economic-v6.1;economic-v6.1_single_crop,6.1,6/24/2019,,,,EACS_6.1_funding,virginia_tech,,,,,,,,
EACS_7,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 7,Version of the model exposing increments for crops and calibration outputs,zhang_zeya;cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economic-v7,7,12/20/2019,,,latest,EACS_6.1_funding,virginia_tech,,,,,,,,
HANDv1,https://w3id.org/okn/o/sdm#EmpiricalModel,HANDv1,,taborton_david,,hydrology;flood map,Hydrology,hand_v1_simple,1,,,,,,,,,,,,,,
HANDv2,https://w3id.org/okn/o/sdm#EmpiricalModel,HANDv2,,hardesty_daniel,,,Hydrology,hand_v2_raster;hand_v2,2.0.0,,,,latest,,,,,,https://github.com/dhardestylewis/HAND-TauDEM,,,,
