https://w3id.org/okn/o/sd#Image,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#value,https://w3id.org/okn/o/sd#hadPrimarySource
7bda4351-282e-4e30-9ba9-c81b7d828819,DroughtPredict logo,Logo used for the Drought predict model,https://github.com/mintproject/ModelCatalog/raw/master/Data/Images/drought_logo.png,
climcomp_logo,Climcomp logo,climcomp logo,https://b.kisscc0.com/20181116/ihq/kisscc0-cloud-weather-climate-computer-fluffy-clouds-5beeafb50684e3.6698636015423692050267.png,https://www.kisscc0.com/clipart/cloud-weather-climate-computer-fluffy-clouds-ehncs4/
cycles_forrester,Forrester diagram for Cycles,Forrester diagram explaining Cycles main processes and their interactions,https://github.com/mintproject/ModelCatalog/raw/master/Data/Images/cycles_forrester.png,
cycles_logo,Cycles logo,Logo for the Cycles agroecosystem simulation model,https://raw.githubusercontent.com/mintproject/ModelCatalog/master/Data/Images/cycles_logo.gif,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles
cycles_screenshot1,Cycles crop description interface,Cycles has a generic plant growth and development model that simulates grasses and other herbaceous crops; legumes or non-legumes; perennial and annual crops; and woody crops. It requires minimum inputs from the user.,https://plantscience.psu.edu/research/labs/kemanian/images/cycles-crop-description-interface/image_preview,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles
cycles_screenshot2,Cycles tillage setup interface,Cycles allows the user to select operations from dozens of tillage tools. These tools disturb the soil by mixing soil layers and all the components in them; breaking up residues and accelerating soil organic matter turnover. Cycles simulates till and no-till conditions; manure additions; and all the properties that affect soil surface processes.,https://plantscience.psu.edu/research/labs/kemanian/images/cycles-tillage-setup-interface/image_preview,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles
dsi_logo,Drought severity index logo,,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/Drought.jpg/800px-Drought.jpg,https://en.wikipedia.org/wiki/Drought
dssat_explanation_diagram,DSSAT architecture diagram,An image displaying the different modules that are part of DSSAT,https://dssat.net/wp-content/uploads/2018/02/CSM-Components_color.jpg,https://dssat.net/
dssat_logo,DSSAT logo,dssat logo,https://dssat.net/wp-content/uploads/2014/05/DSSAT-color-update-LOGO+-DSSAT.png,https://dssat.net/
eacs_explanation,Explanation of the EACS model,Diagram explaining the main interactions of processes and variables in the economic aggregate crop supply model,,
eacs_forrester,Forrester diagram for EACS,Forrester diagram explaining the Economic Aggregate Crop Supply model main processes and their interactions,,
eacs_logo,EACS logo,Economic model logo,https://b.kisscc0.com/20180705/zvq/kisscc0-computer-icons-economy-economic-development-symbol-eco-green-growth-icon-5b3e5f701b1338.3434381215308143201109.png,https://www.kisscc0.com/clipart/computer-icons-economy-economic-development-symbol-4yrzrs/
fsi_logo,Flood Severity Index logo,A logo for the Flood Severity Index model,https://upload.wikimedia.org/wikipedia/commons/thumb/3/32/Gumbel-Density.svg/1024px-Gumbel-Density.svg.png,https://en.wikipedia.org/wiki/Gumbel_distribution
hand_explanation,HAND algorithm explanation,HAND classes procedure,https://github.com/mintproject/ModelCatalog/raw/master/Data/Images/hand_classes_procedure.png,https://www.researchgate.net/publication/232042361_Height_Above_the_Nearest_Drainage_-_a_hydrologically_relevant_new_terrain_model
hand_explanation2,HAND algorithm explanation,HAND model procedure,https://github.com/mintproject/ModelCatalog/raw/master/Data/Images/hand_model_procedure.png,https://www.researchgate.net/publication/232042361_Height_Above_the_Nearest_Drainage_-_a_hydrologically_relevant_new_terrain_model
hand_logo,HAND logo,HAND algorithm implmentation logo,https://github.com/mintproject/ModelCatalog/raw/master/Data/Images/hand_logo.jpg,https://www.hydroshare.org/resource/69f7d237675c4c73938481904358c789/
kimetrica_logo,Kimetrica logo,kimetrica logo,https://github.com/mintproject/ModelCatalog/raw/master/Data/Images/k.png,https://kimetrica.com/
modflow_2005_image,Modflow 2005 diagram,A discretized hypothetical aquifer system. (Modified from McDonald and Harbaugh. 1988.),https://prd-wret.s3-us-west-2.amazonaws.com/assets/palladium/production/s3fs-public/styles/side_image/public/thumbnails/image/modflow5-layers.jpg,https://www.usgs.gov/software/modflow-2005-usgs-three-dimensional-finite-difference-ground-water-model
