https://w3id.org/okn/o/sd#Parameter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasDataType,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#recommendedIncrement,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sdm#relevantForIntervention,https://w3id.org/okn/o/sd#adjustsVariable,https://w3id.org/okn/o/sd#hasFixedValue,https://w3id.org/okn/o/sd#hasAcceptedValues
00743715-b18f-47fb-a1c7-38330ad3873b,,csv_output_file,,string,/tmp/mint/output.csv,,,8,,,,,,
03384388-dd37-47b2-95a2-f534ed9b57eb,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
0607edfd-b32e-44d8-b3bd-950f40008951,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
07da505b-4a59-4fe6-8e7c-6726379676c2,https://w3id.org/okn/o/sd#CatalogIdentifier,data_set_id,,,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
07f08aae-f179-4343-9ced-cf5b4faf6762,,conc,concerned time period,float,30,50,0,4,,,,,30,
0aeb22d3-6f54-42b3-b29d-998a1838b87f,https://w3id.org/wings/export/MINT#Adjustment,max_long,maximum longitude,float,48,48,24,4,,,,,48,
0f5a7881-db6a-4731-8960-23b6bd315017,,end_date,End date of the simulation,string,2018-10-01,,,2,,,,,,
139cfdea-ad04-4bb0-8003-027e8a9c1d2f,,conc,,int,30,,,4,,,,,,
1748954e-cb28-4688-a138-d062babc60e7,,start_date,Start date of the simulation,string,2015-10-01,,,1,,,,,,
18888c13-85c0-4358-affd-2362b3f92f4e,,agg_function,,string,average,,,3,,,,,,
18ec9a27-2684-4ac6-846a-401a6b18ce19,,dt_cfg,TopoFlow driver timestep (seconds),float,200,,0,3,,second,,,,
18f4218f-2852-4be2-bf28-ffb18d1ac552,,agg_time_period,,string,day,,,4,,,,,,
1cf0e03e-4032-45cd-aef0-052a22398422,,end_date,end date of the simulation,string,2018-10-01,,,2,,,,,2018-10-01,
1d974b34-89fc-4b01-aba5-c83e62732482,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
