https://w3id.org/okn/o/sdm#Region,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sdm#geo,https://w3id.org/okn/o/sdm#partOf
5a67bf21-1acf-4a7c-acc3-12ecd09e7fb9,Sacramento River,,868d9b8d-fcf8-4deb-9c74-7db248a070e4,California
Africa,Africa,,,
America,America,,,
Awash,Awash (Ethiopia),"'Awash Subah' Town Adminstration is a market town in central Ethiopia. Located in Administrative Zone 3 of the Afar Region, above a gorge on the Awash River, after which the town is named, the town lies on the Addis Ababaâ€“Djibouti Railway, which crosses the gorge by a bridge there. It is the largest settlement in Awash Fentale woreda.",Awash_Shape,Ethiopia
Baro,Baro basin (Ethiopia),"Baro is a river in southwestern Ethiopia, which defines part of Ethiopia's border with South Sudan. From its source in the Ethiopian Highlands it flows west for 306 kilometres (190 mi) to join the Pibor River. The Baro-Pibor confluence marks the beginning of the Sobat River, a tributary of the White Nile",Baro_Shape,Ethiopia
Barton_Springs,Barton Springs (Texas),Area of the Barton Springs aquifer in Texas (USA),,Texas
Bashilo,Bashilo basin (Ethiopia),"The Bashilo River (less often known as the Beshitta) is located in Ethiopia. Known for its canyon, which one source describes as almost as extensive as the canyon of its parent the Abay, also known as the Blue Nile, the river originates just west of Kutaber in the Amhara Region, flowing first to the northwest to where the Tergiya empties into it, then to the southwest to its confluence with the Abay.",Bashilo_Shape,Ethiopia
Beko-Tippi,Tippi (Ethiopia),"Located in the Sheka Zone of the Southern Nations, Nationalities, and People's Region (SNNPR), this town has a latitude and longitude of 7Â°12?N 35Â°27?E with a mean elevation of 1,097 meters above sea level. The town is said to be named after a Majangir man who once had a bee hive in the large tree that stood in the marketplace",Beko-Tippi_Shape,Ethiopia
California,California (US),,,United_States
Ethiopia,Ethiopia,"Ethiopia, officially the Federal Democratic Republic of Ethiopia, is a country in the northeastern part of Africa, known as the Horn of Africa. It shares borders with Eritrea to the north, Djibouti to the northeast, the de facto state of Somaliland and Somalia to the east, Kenya to the south, South Sudan to the west and Sudan to the northwest. With over 102 million inhabitants, Ethiopia is the most populous landlocked country in the world and the second-most populous nation on the African continent with a total area of 1,100,000 square kilometres (420,000 sq mi). Its capital and largest city is Addis Ababa, which lies a few miles west of the East African Rift that splits the country into the Nubian and Somali tectonic plates",Ethiopia_Shape,Africa
