https://w3id.org/okn/o/sdm#ModelConfigurationSetup,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#adjustableParameter,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasImplementationScriptLocation,https://w3id.org/okn/o/sd#hasInput,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sd#hasSoftwareImage,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#usefulForCalculatingIndex,https://w3id.org/okn/o/sdm#hasCausalDiagram,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sdm#hasOutputTimeInterval,https://w3id.org/okn/o/sdm#hasProcess,https://w3id.org/okn/o/sdm#hasRegion,https://w3id.org/okn/o/sdm#parameterAssignmentMethod,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sdm#calibrationTargetVariable
5e33859e-71ce-46e6-986d-93aa4a0befcb,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND v2 with raster output. DEM can be customized.,Setup of HAND with no input DEM pre-configured.,,garijo_daniel;hardesty_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,4e9614d0-c0de-4d35-8f9a-cd54fc9a10a1,hand_v2_raster_geojson;hand_v2_raster_shape;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down,1d974b34-89fc-4b01-aba5-c83e62732482,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_drawdown,,Expert-configured,,,
677c434e-99e2-4113-a5c4-4160f10bbb9a,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND Colorado Test setup (Texas),Colorado Test setup,,garijo_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,597c5ac6-78ae-4c77-8da7-ab03f09f167d,hand_v2_raster_geojson;hand_v2_raster_shape;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down,f751df20-b49d-4720-8b2c-b9a3f491d59a,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_drawdown,Texas,Expert-configured,,,
6c075d93-352a-4381-865a-151a0e96c4ab,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND model-simple for the Travis region (v2),HAND model-simple for the Travis region with the DEM provided by TACC,,,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.0/hand_v2_mint_component.zip,https://raw.githubusercontent.com/mintproject/HAND-TauDEM/v2.1.0/hand_v2_mint_component/src/run,0e407070-2f3f-4f72-9a03-4f7639b07f1d,hand_v2_shape;hand_v2_distance_down;hand_v2_geojson,7935a7d7-2ca4-4a49-9409-81657686c226,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_drawdown,Texas,Expert-configured,,,
a044daca-eb62-4ef9-b806-508e0cee27fa,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND Setup for Hays catchment,Hays catchtment in Texas,,garijo_daniel;hardesty_daniel;3f252726-f632-4cb6-ace3-018adc66a460,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,fafe1696-92d4-49c1-a2fc-484b8f21039e,hand_v2_raster_geojson;hand_v2_raster_shape;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down,7b857113-18c1-4717-a313-98473eae2457,mintproject/hand:v2.1.0,,,relative height; flow path; drainage network; gravitational potential; normalization of topography,flooding_contour,,hand_grid,Hydrology,,hand_drawdown,Texas,Expert-configured,,,
b8b58d5a-3901-4154-a1fe-6bf3e4c2be21,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,HAND for the Travis region (lower resolution DEM),This setup is prepared with an input digital elevation model that is lower resolution than the one provided by TACC,,garijo_daniel,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component.zip,https://github.com/mintproject/HAND-TauDEM/raw/v2.1.4/hand_v2_mint_component/src/run,a3d134d4-a747-4ee2-b98a-d1077866ef2d,hand_v2_raster_geojson;hand_v2_raster_shape;hand_v2_raster_distance_down_raster;hand_v2_raster_distance_down,7b67b451-f9ae-432d-aa5b-c6f0d84dd893,mintproject/hand:v2.1.0,,,,flooding_contour,,hand_grid,Hydrology,,hand_drawdown,Texas,Expert-configured,,,
cycles-0.10.2-alpha-collection-oromia,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,Cycles configuration setup (v0.10.2) for grouped weather-soil files and exposing weed fraction and fertilizer rate for the Oromia region,Cycles configuration (version 0.10.2) for grouped weather and soil files and exposing additional parameters such as weeds fraction and fertilizer rate. Model setup for the Oromia region,cycles-0.10.2-alpha-collection-oromia_weed_fraction;cycles-0.10.2-alpha-collection-oromia_crop_name;cycles-0.10.2-alpha-collection-oromia_end_planting_day;cycles-0.10.2-alpha-collection-oromia_start_year;cycles-0.10.2-alpha-collection-oromia_start_planting_day;cycles-0.10.2-alpha-collection-oromia_end_year;cycles-0.10.2-alpha-collection-oromia_fertilizer_rate,garijo_daniel,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.10.2-alpha-collection/cycles-0.10.2-alpha-collection.zip,https://raw.githubusercontent.com/mintproject/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles-0.10.2-alpha-collection/src/run,cycles-0.10.2-alpha-collection-oromia_crops;cycles-0.10.2-alpha-collection-oromia_weather_soil,cycles-0.10.2-alpha-collection-oromia_water;cycles-0.10.2-alpha-collection-oromia_nitrogen;cycles-0.10.2-alpha-collection-oromia_somF;cycles-0.10.2-alpha-collection-oromia_soilProfile;cycles-0.10.2-alpha-collection-oromia_outputs;cycles-0.10.2-alpha-collection-oromia_season;cycles-0.10.2-alpha-collection-oromia_weatherOutput;cycles-0.10.2-alpha-collection-oromia_crop;cycles-0.10.2-alpha-collection-oromia_summary,cycles-0.10.2-alpha-collection-oromia_weed_fraction;cycles-0.10.2-alpha-collection-oromia_use_forcing;cycles-0.10.2-alpha-collection-oromia_crop_name;cycles-0.10.2-alpha-collection-oromia_end_planting_day;cycles-0.10.2-alpha-collection-oromia_start_year;cycles-0.10.2-alpha-collection-oromia_start_planting_day;cycles-0.10.2-alpha-collection-oromia_end_year;cycles-0.10.2-alpha-collection-oromia_fertilizer_rate,mintproject/cycles:0.10.2-alpha,source_cycles-0.10.2-alpha-collection,"The crop file is location dependant. The weather file must be compatible with the year selected for simulation. Otherwise the model will not work. For example, if the weather file is for 2018, the model will output an error when attempting to simulate 2000..2017",agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,Oromia,Expert-configured,,,
cycles-0.10.2-alpha-collection-oromia-single-point,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,Cycles test configuration setup (v0.10.2) for a single fixed point and exposing weed fraction and fertilizer rate for the Oromia region,Cycles configuration (version 0.10.2) for a single point and exposing additional parameters such as weeds fraction and fertilizer rate. Model setup for the Oromia region,cycles-0.10.2-alpha-collection-oromia-single-point_end_year;cycles-0.10.2-alpha-collection-oromia-single-point_start_year;cycles-0.10.2-alpha-collection-oromia-single-point_end_planting_day;cycles-0.10.2-alpha-collection-oromia-single-point_weed_fraction;cycles-0.10.2-alpha-collection-oromia-single-point_crop_name;cycles-0.10.2-alpha-collection-oromia-single-point_fertilizer_rate;cycles-0.10.2-alpha-collection-oromia-single-point_start_planting_day,garijo_daniel,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.10.2-alpha-collection/cycles-0.10.2-alpha-collection.zip,https://raw.githubusercontent.com/mintproject/MINT-WorkflowDomain/master/WINGSWorkflowComponents/cycles-0.10.2-alpha-collection/src/run,cycles-0.10.2-alpha-collection-oromia-single-point_weather_soil;cycles-0.10.2-alpha-collection-oromia-single-point_crops,cycles-0.10.2-alpha-collection-oromia-single-point_somF;cycles-0.10.2-alpha-collection-oromia-single-point_water;cycles-0.10.2-alpha-collection-oromia-single-point_soilProfile;cycles-0.10.2-alpha-collection-oromia-single-point_nitrogen;cycles-0.10.2-alpha-collection-oromia-single-point_crop;cycles-0.10.2-alpha-collection-oromia-single-point_outputs;cycles-0.10.2-alpha-collection-oromia-single-point_season;cycles-0.10.2-alpha-collection-oromia-single-point_weatherOutput;cycles-0.10.2-alpha-collection-oromia-single-point_summary,cycles-0.10.2-alpha-collection-oromia-single-point_end_year;cycles-0.10.2-alpha-collection-oromia-single-point_start_year;cycles-0.10.2-alpha-collection-oromia-single-point_end_planting_day;cycles-0.10.2-alpha-collection-oromia-single-point_weed_fraction;cycles-0.10.2-alpha-collection-oromia-single-point_crop_name;cycles-0.10.2-alpha-collection-oromia-single-point_fertilizer_rate;cycles-0.10.2-alpha-collection-oromia-single-point_start_planting_day;cycles-0.10.2-alpha-collection-oromia-single-point_use_forcing,mintproject/cycles:0.10.2-alpha,source_cycles-0.10.2-alpha-collection,"The crop file is location dependant. The weather file must be compatible with the year selected for simulation. Otherwise the model will not work. For example, if the weather file is for 2018, the model will output an error when attempting to simulate 2000..2017",agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,Oromia,Expert-configured,,,
cycles-0.9.4-alpha-advanced-ethiopia,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,Cycles model setup (v0.9.4) for the Gambella region (Ethiopia) with adjustable parameters,"Cycles model (v0.9.4) set up for the Gambella region (Ethiopia) in a single point (i.e., single weather file). Parameters are adjustable but files are not",cycles-0.9.4-alpha-advanced-ethiopia_crop_name;cycles-0.9.4-alpha-advanced-ethiopia_weed_fraction;cycles-0.9.4-alpha-advanced-ethiopia_start_year;cycles-0.9.4-alpha-advanced-ethiopia_end_year;cycles-0.9.4-alpha-advanced-ethiopia_fertilizer_rate;cycles-0.9.4-alpha-advanced-ethiopia_end_planting_day;cycles-0.9.4-alpha-advanced-ethiopia_start_planting_day,silva_rafael,https://github.com/mintproject/MINT-WorkflowDomain/blob/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/cycles-0.9.4-alpha.zip?raw=true,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/src/run,cycles-0.9.4-alpha-advanced-ethiopia_crops;cycles-0.9.4-alpha-advanced-ethiopia_soil;cycles-0.9.4-alpha-advanced-ethiopia_weather,cycles-0.9.4-alpha-advanced-ethiopia_season;cycles-0.9.4-alpha-advanced-ethiopia_water;cycles-0.9.4-alpha-advanced-ethiopia_somF;cycles-0.9.4-alpha-advanced-ethiopia_outputs;cycles-0.9.4-alpha-advanced-ethiopia_soilProfile;cycles-0.9.4-alpha-advanced-ethiopia_crop;cycles-0.9.4-alpha-advanced-ethiopia_summary;cycles-0.9.4-alpha-advanced-ethiopia_nitrogen;cycles-0.9.4-alpha-advanced-ethiopia_weatherOutput,cycles-0.9.4-alpha-advanced-ethiopia_crop_name;cycles-0.9.4-alpha-advanced-ethiopia_weed_fraction;cycles-0.9.4-alpha-advanced-ethiopia_start_year;cycles-0.9.4-alpha-advanced-ethiopia_end_year;cycles-0.9.4-alpha-advanced-ethiopia_fertilizer_rate;cycles-0.9.4-alpha-advanced-ethiopia_use_forcing;cycles-0.9.4-alpha-advanced-ethiopia_end_planting_day;cycles-0.9.4-alpha-advanced-ethiopia_start_planting_day,mintproject/cycles:0.9.4-alpha,source_cycles-0.9.4-alpha,"The crop file is location dependant. The weather file must be compatible with the year selected for simulation. Otherwise the model will not work. For example, if the weather file is for 2018, the model will output an error when attempting to simulate 2000..2017",agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,Gambella,Expert-configured,,,
cycles-0.9.4-alpha-advanced-ethiopia-multiple-points,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,Cycles model setup (v0.9.4)for the full Gambella region (Ethiopia) with adjustable planting dates,"Cycles model (v0.9.4) set up for the Gambella region (Ethiopia), with multiple weather files for different points. Parameters are adjustable but files are not.",cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_start_year;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_planting_day;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_start_planting_day;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_weed_fraction;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_year;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_fertilizer_rate;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_crop_name,silva_rafael,https://github.com/mintproject/MINT-WorkflowDomain/blob/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/cycles-0.9.4-alpha.zip?raw=true,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/src/run,cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_crops;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_soil;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_weather,cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_soilProfile;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_summary;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_season;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_somF;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_outputs;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_crop;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_water;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_nitrogen;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_weatherOutput,cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_start_year;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_planting_day;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_start_planting_day;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_weed_fraction;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_end_year;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_fertilizer_rate;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_crop_name;cycles-0.9.4-alpha-advanced-ethiopia-multiple-points_use_forcing,mintproject/cycles:0.9.4-alpha,source_cycles-0.9.4-alpha,"The crop file is location dependant. The weather file must be compatible with the year selected for simulation. Otherwise the model will not work. For example, if the weather file is for 2018, the model will output an error when attempting to simulate 2000..2017",agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,Gambella,Expert-configured,,,
cycles-0.9.4-alpha-advanced-ethiopia-weather,https://w3id.org/okn/o/sdm#Theory-GuidedModel;https://w3id.org/okn/o/sd#ConfigurationSetup,"Cycles model setup (v0.9.4) for a single point in the Gambella region, with fixed planting dates and an adjustable weather file","Cycles model (v0.9.4) set up for the Gambella region (Ethiopia), single point, with fixed planting dates. The weather file is not set to any default",cycles-0.9.4-alpha-advanced-ethiopia-weather_end_year;cycles-0.9.4-alpha-advanced-ethiopia-weather_fertilizer_rate;cycles-0.9.4-alpha-advanced-ethiopia-weather_weed_fraction;cycles-0.9.4-alpha-advanced-ethiopia-weather_crop_name;cycles-0.9.4-alpha-advanced-ethiopia-weather_start_planting_day;cycles-0.9.4-alpha-advanced-ethiopia-weather_start_year;cycles-0.9.4-alpha-advanced-ethiopia-weather_end_planting_day,silva_rafael,https://github.com/mintproject/MINT-WorkflowDomain/blob/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/cycles-0.9.4-alpha.zip?raw=true,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/cycles-0.9.4-alpha/src/run,cycles-0.9.4-alpha-advanced-ethiopia-weather_weather;cycles-0.9.4-alpha-advanced-ethiopia-weather_soil;cycles-0.9.4-alpha-advanced-ethiopia-weather_crops,cycles-0.9.4-alpha-advanced-ethiopia-weather_summary;cycles-0.9.4-alpha-advanced-ethiopia-weather_soilProfile;cycles-0.9.4-alpha-advanced-ethiopia-weather_outputs;cycles-0.9.4-alpha-advanced-ethiopia-weather_weatherOutput;cycles-0.9.4-alpha-advanced-ethiopia-weather_season;cycles-0.9.4-alpha-advanced-ethiopia-weather_somF;cycles-0.9.4-alpha-advanced-ethiopia-weather_crop;cycles-0.9.4-alpha-advanced-ethiopia-weather_nitrogen;cycles-0.9.4-alpha-advanced-ethiopia-weather_water,cycles-0.9.4-alpha-advanced-ethiopia-weather_end_year;cycles-0.9.4-alpha-advanced-ethiopia-weather_fertilizer_rate;cycles-0.9.4-alpha-advanced-ethiopia-weather_weed_fraction;cycles-0.9.4-alpha-advanced-ethiopia-weather_crop_name;cycles-0.9.4-alpha-advanced-ethiopia-weather_start_planting_day;cycles-0.9.4-alpha-advanced-ethiopia-weather_start_year;cycles-0.9.4-alpha-advanced-ethiopia-weather_end_planting_day;cycles-0.9.4-alpha-advanced-ethiopia-weather_use_forcing,mintproject/cycles:0.9.4-alpha,source_cycles-0.9.4-alpha,"The crop file is location dependant. The weather file must be compatible with the year selected for simulation. Otherwise the model will not work. For example, if the weather file is for 2018, the model will output an error when attempting to simulate 2000..2017",agriculture; cycles; crop growth; weather;soil;crop management,crop_seasonal_production_index,cycles_cfg_complex_CAG;cycles_cfg_simple_CAG,cycles_grid,Agriculture,cycles_cfg_simple_TI,cycles_biomassgrowth_process;cycles_transpiration_process;cycles_Nmineralizationandimmobalization_process;cycles_humification_process;cycles_Ntransport_process;cycles_respiration_process;cycles_Nuptake_process;cycles_solarradiation_process;cycles_precipitation_process;cycles_management_process,Gambella,Expert-configured,,,
