https://w3id.org/okn/o/sd#VariablePresentation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sd#hasLongName,https://w3id.org/okn/o/sd#hasShortName,https://w3id.org/okn/o/sd#hasStandardVariable,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sdm#influences,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#hasCanonicalName,https://w3id.org/okn/o/sd#hasDefaultValue
DSSAT_CR,CR,Crop (or weed) species identifier,code,crop id,CR,crop-or-weed__species_identification_code,,,,,,
DSSAT_FAMN,FAMN,Nitrogen in applied fertilizer,kg ha-1,N_in_applied_fertilizer,FAMN,fertilizer~applied-as-nitrogen__mass-per-area_density,,,,,,
DSSAT_FDATE,FDATE,Fertilization date,date,fertilization_date,FDATE,soil_fertilizer__fertilization_date,,,,,,
DSSAT_FDEP,FDEP,Fertilizer application depth,cm,fertilizer depth,FDEP,soil_fertilizer__application_depth,,,,,,
DSSAT_ICBL,ICBL,soil layer depth for initial conditions measurements,cm,initial soil depth,ICBL,soil_layer__initial_depth,,,,,,
DSSAT_INGENO,INGENO,Cultivar or line or genotype identifier,code,cultivar id,INGENO,cultivar__line-or-genotype_identification_code,,,,,,
DSSAT_LAT,LAT,Latitude of station- degrees decimal with North as positive value,degC,Weather station latitude,LAT,weather-station__latitude,,,,,,
DSSAT_LONG,LONG,Longitude of station- degrees decimals with East as positive value,degC,Weather station longitude,LONG,weather-station__longitude,,,,,,
DSSAT_PDATE,PDATE,Planting or sowing date,date,planting date,PDATE,crop__planting_or_sowing_date,,,,,,
DSSAT_PLDP,PLDP,Planting depth,mm,planting depth,PLDP,crop__planting_depth,,,,,,
DSSAT_PLRS,PLRS,Row spacing,cm,planting row spacing,PLRS,crop_row__planting_separation_distance,,,,,,
DSSAT_PPOP,PPOP,Plant population at planting,m-2,planting density,PPOP,crop__count-per-area_planting_density,,,,,,
DSSAT_RAIN,RAIN,Rainfall (including moisture in snow) in one day,mm day-1,precipitation,RAIN,;,,,,,,
DSSAT_SALB,SALB,Soil albedo- dry soil,,albedo,SALB,land_soil~dry_surface__albedo,,,,,,
DSSAT_SBDM,SBDM,Soil bulk density when moist for layer,g cm-3,soil bulk density,SBDM,soil~moist_layer__bulk_mass-per-volume_density,,,,,,
DSSAT_SDUL,SDUL,Soil water- drained upper limit,cm3 cm-3,soil drained upper limit,SDUL,soil~drained_water__upper_limit_of_volume_fraction,,,,,,
DSSAT_SH2O,SH2O,Initial water concentration by layer,cm3 cm-3,initial water content,SH2O,soil_layer_water__initial_volume_fraction,,,,,,
DSSAT_SLB,SLB,Soil layer base depth,cm,Soil layer base depth,SLB,soil_layer~base__depth,,,,,,
DSSAT_SLCL,SLCL,Soil texture- clay (<0.002 mm) weight percent of fine earth,%,Soil clay percentage,SLCL,soil_clay__mass_fraction,,,,,,
DSSAT_SLLL,SLLL,Soil water- lower limit,cm3 cm-3,soil lower limit,SLLL,soil_water__lower_limit_of_volume_fraction,,,,,,
DSSAT_SLOC,SLOC,Total soil organic carbon by layer,g/100g,soil organic carbon,SLOC,soil_matter~organic__mass_fraction,,,,,,
DSSAT_SLSI,SLSI,Soil texture- silt (0.05 to 0.002 mm) weight percent of fine earth,%,Soil silt percentage,SLSI,soil_silt__mass_fraction,,,,,,
DSSAT_SNH4,SNH4,Initial NH4 conc. as elemental N on dry wt. basis by layer,ppm,initial ammonium,SNH4,soil_ammonium-as-nitrogen~elemental__dry_mass_fraction,,,,,,
DSSAT_SNO3,SNO3,Initial NO3 conc. as elemental N on dry wt. basis by layer,ppm,initial nitrate,SNO3,soil_nitrate-as-nitrogen~elemental__dry_mass_fraction,,,,,,
DSSAT_SRAD,SRAD,Solar radiation,MJ m-2 d-1,Solar radiation,SRAD,land_surface_radiation~solar__energy_flux,,,,,,
DSSAT_SSAT,SSAT,Soil water- saturated,cm3 cm-3,soil water content at saturation,SSAT,soil_water__saturated_volume_fraction,,,,,,
DSSAT_SSKS,SSKS,Saturated hydraulic conductivity,cm h-1,Saturated hydraulic conductivity,SSKS,soil_water__saturated_hydraulic_conductivity,,,,,,
DSSAT_TAV,TAV,Temperature average for whole year,degC,mean annual temperature,TAV,air__yearly_average_of_temperature,,,,,,
DSSAT_TMAX,TMAX,Temperature of air- maximum,degC,maximum air temperature,TMAX,atmosphere_air__daily_max_of_temperature,,,,,,
DSSAT_TMIN,TMIN,Temperature of air- minimum,degC,minimum air temperature,TMIN,atmosphere_air__daily_min_of_temperature,,,,,,
DSSAT_WSTA,WSTA,Weather station identifier to link to site information,,Weather station ID,WSTA,weather-station__identification_number,,,,,,
DSSAT_XCRD,XCRD,Field longitude. E positive. W negative,degC,field longitude,XCRD,field__longitude,,,,,,
DSSAT_YCRD,YCRD,Field latitude,degC,field latitude,YCRD,field__latitude,,,,,,
DSSAT_cwam,CWAM,Tops dry weight at maturity,kg ha-1,tops dry weigth,CWAM,crop~mature~dry_tops__mass-per-area_yield,,,,,,
DSSAT_hwam,HWAM,Harvest yield at harvest maturity (dry wt),kg ha-1,harvest yield,HWAM,crop~mature~dry__harvest_mass-per-area_yield,,,,,,
climcomp_P,prcp,precipitation,kg m-2 s-1,precipitation,prcp,atmosphere_water__precipitation_mass_flux,,,,,,
climcomp_T,temp,temperature,K,temperature,temp,atmosphere_bottom_air__temperature,,,,,,
