https://w3id.org/okn/o/sd#DataTransformation,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sd#hasSoftwareImage
1b06753a-9045-41cf-96db-b0405ae20c6d,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,11aafc40-e10e-49c2-8b7a-e19e76a789b0;5ad8a619-dceb-4d55-85ae-489cc614ce15;60bb1209-a42e-4af4-8f52-983001040b54,00bd7ecc-ea2d-4b58-9938-5b0aa0b21f19;19f03582-c8d3-4480-a5f7-84f9ab629e05;2aa7154b-4b6e-49eb-9993-f3718c50b469;34f0fe84-4573-4e51-b236-5082ff76f2b3;4a3615de-f326-49a1-b9f4-720146f3bc20;5e4638c1-97f1-4081-b2fb-c763e816fce7;63759074-e3c0-4202-b3b2-150d26ab4175;f497ee1c-9401-45d5-ab96-efdee28be18e,mintproject/dt_dame:latest
2e566f85-cb97-4f03-8d54-6e33dc450b48,gldas_to_daily_average,https://raw.githubusercontent.com/sirspock/gldas_to_daily_average/master/mint_component.zip,26a97594-459e-4950-b986-c8ba57e1a121,15da6b19-9fcc-4fe4-a93d-78d234f75a82;1a0a911b-d471-456b-9982-cd35c4e30e4a;1f3e1023-0c55-46c9-89aa-a6b279deceb3;315608c9-68db-4e29-baca-0765e67b7784;794e9d54-8f7e-4292-958b-7bfdb7b33b7b;84d9164b-9c5a-43da-a7f9-2da519b32439;d9c90639-ded3-4265-933e-f89bd8317a10;fc3b8096-5282-4c8a-b57d-fac993fe4bf2,mosorio/gldas_to_daily_average:20.7.8
3868985c-4074-4176-80d7-06aa5946342c,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,5a7fb943-6d03-4b07-8d96-09b9e6c0dbef;603df37d-9776-476a-a9bd-7e722ba3930c;c9f9e84d-5bd5-44c3-80a1-474b0688e332,207bd2e8-2c9a-4ae3-8924-4a98c6dcfafa;2a355b50-35f7-4fbe-8e1b-255205450460;7529a138-365c-4d20-a65d-e971915f3fd1;882fea17-7e97-476d-b23b-c256ef142d2d;93674e1b-2ebb-407b-b2a2-85fdedee0a51;a9444459-ea38-4196-a33a-d9d90c8b315f;b2d8d42b-6ea8-4df9-b4cf-674a6b1ea728;fbaaf885-3f2a-44d6-b59a-e4fa4a5b47d8,mintproject/dt_dame:latest
3a91c27b-7d00-4c96-be68-f2ea8c6c91d5,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,103c5b0b-633e-4616-92a0-bde35de11d8a;4638236d-d47d-4dfb-95c7-15137ae0388e;9d3f212f-4dd6-4bf7-856d-3ba0c0d92edc,072372be-cc01-4e8b-9918-20e3680f7442;08486102-cab3-4711-98c5-1c65a35a8c09;169d6158-6802-4dac-bec9-becd9956635a;17eb9527-21e3-49e2-b68d-082b107f4d02;64d2ab37-98b7-48eb-a6b6-23d8c8240cae;b0b7473a-5de0-4ce4-862d-47cc442c22e4;d644d5bd-8f2f-4b94-8095-cbe906306097;dc83eae5-4877-4e76-a9b6-8596c2f2a8ba,mintproject/dt_dame:latest
40d89655-9ff6-4d5a-8902-ee9ecceb3a90,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,0ed487f0-443f-4fb6-a50f-81edfb0f8c8d;3044f978-b4c3-426f-b113-01d77685bbe3;aa151724-43bd-4d5e-8b1b-17b719de67cd,6f170991-30d6-44da-a0fe-d6e59775ef37;7a53c6fc-ad30-48f1-af80-d19582789c0d;91d58ba9-db58-4041-95ac-4e214f291f9e;a77bbfec-ca57-4660-8877-341b30fea295;c641bd76-eed5-46e2-896f-47b687edfafb;e444ee0e-7e6c-4cc2-b99b-9697e0fc00c3;f216cd3f-c87b-480d-8b39-bb180926aaa8;fdd0d825-e5da-44e4-8983-60e815455983,mintproject/dt_dame:latest
434eef97-53af-4ab1-896a-e735f8597efc,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,34061bc5-cfe7-4cc9-8ccb-323bf911a3e3;7d2071be-5f15-4475-876e-42363973e58c;adbb676b-65a2-45cc-80c3-aa4e86f5981c,2f8a020f-16eb-43a5-a864-2af18d46f76c;7d38ab0f-ec27-49c8-875e-485beed392ef;8e900897-60ce-41ce-985f-decab8d6c0dd;901a50db-1748-4bc1-b8d5-1c354b4c988d;986d03f1-ac0b-4725-bc7d-608f64f00eb7;cb85f6ec-39d8-4dc1-92b6-597af8222bf4;e3abe30e-547a-4a57-8c6b-f2d18351537e;fe2f5236-2c31-4682-9331-7d7bce63a354,mosorio/topoflow_dt:20.7.15
458acad1-5a55-4b17-81f3-f1a519f3068f,gldas_to_daily_average,https://raw.githubusercontent.com/sirspock/gldas_to_daily_average/master/mint_component.zip,1254e436-da17-46d9-8ebd-db3d9f255d7f,2200907a-102c-488a-aef6-73deea40ad04;3f9d97c9-56a4-4448-bbae-64eabd935a9b;47f9c1f2-03e2-44dd-930e-7bce425bf94a;559b02c3-83eb-4dfe-b426-ad4d66cb2252;731cb035-f754-47fe-92c3-675b197bbf54;aadeaab3-e22e-40ea-b61f-07ddfee790d3;b72d658a-bcb5-4e8a-99b7-77bdc6f81b51;fe989de4-ec66-42fe-aaef-b53c703d3c6e,mosorio/gldas_to_daily_average:20.7.3
4b4e503d-3b0f-479b-8d89-dc7677a00dbb,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,20f52d32-83d3-4c4f-86dd-9d63405ddbef;8169f979-8354-4193-a4e2-931d7d97ffbd;d3276787-3a36-495b-9f9a-090ba908f153,0ff0f702-859e-4068-b559-c2fcf372a41b;30a922be-8095-4245-8f28-459c9a402e3a;348d4e2a-4ea1-4847-ba8c-b51fffe7edbf;42b767d8-ee0e-4e42-b5f8-b4284d9f7491;4fc8a597-539e-45d0-b0fe-3cb571714665;7ab11a01-33eb-4e85-9848-b409579aaf3d;c0fca93b-8e0d-4cd1-8963-4675ad7197b9;f7e49f77-dc68-4da9-8b8e-3ed03240f380,mintproject/dt_dame:latest
4b50502b-5003-4241-b974-e16309a5bfaf,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,214e4184-5594-4361-9d29-2c7be2f32410;55a5dc44-5e9b-4691-b8a3-efd70b9a67ab;564e51c5-0406-429b-bfb6-2e5dde171759,1f5b0a8f-782e-4ae0-8859-89d9873703e4;3352e146-18a2-46c0-9c2b-e846fca45293;453d5098-73df-4b66-b5b3-ed212f3d7a92;a11221c6-ad55-4da1-b392-b450e044dfe7;db427e8f-8580-44b4-ba10-f8bb4d2d260f;dd2770f0-6b7d-4a89-a8d2-8236449e92ea;dff8669b-10f7-4e31-9150-a08e31e7cdb6;e3d5d362-e016-41e7-9ac2-8be90cc0d9bc,mosorio/topoflow_dt:20.7.13
4c477f06-cc0f-43b4-a6d9-ccfcfb742911,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,2e3a9b3a-4e8f-43d4-9678-4dd4c8e743ce;746d9402-db31-4dbf-b04e-6921dda0f75a;c932d562-953b-451e-802e-52093f76b451,0901c5f6-1bb9-40d9-8036-0e167a0b3959;0fc97cba-aa51-4dc8-86d5-692f111f23aa;7ec790e9-2157-44c3-b037-e5caf9264ab7;9e63118c-6482-46b9-bbb8-7f420a7e1223;b410a143-b8a8-4333-8e30-14b607f4f144;c79a3fba-f36c-4b5a-88ac-584b2d45143b;f6f31036-588c-4e8b-b2e9-4c773e623e74;f9b15c6f-ccf0-4807-aa11-6a7ab6762f7e,mintproject/dt_dame:latest
541efca3-7dd0-40d1-b71b-c53deecfe247,topoflow_dt,https://raw.githubusercontent.com/sirspock/topoflow_dt/master/mint_component.zip,71b18b30-1e94-458d-91a8-f32ac15db2ba;b05695cf-baf0-4802-b07c-5fdf0262916b;fccf26fb-3d46-48cb-8586-f0cc09591cad,11cc0180-af1e-4252-b9fa-c3dcbc4e2953;3661e672-f4e7-47b4-a783-d61e3488632d;46da4277-db70-43fc-b485-e7f6cfb7ac0d;91f1374a-19ff-461d-8634-efb666f376da;9e7aee4e-87d6-449e-b0a5-d54ee0a87c84;c9b7c7af-3794-4edf-a996-965a34564f94;f744ede0-5f72-4b6f-95fc-939d1e8d8218;ff18001d-1372-4fe0-8db5-ca56ba052a2e,mintproject/dt_dame:latest
