https://w3id.org/okn/o/sd#DatasetSpecification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#hasDimensionality,https://w3id.org/okn/o/sd#hasFixedResource,https://w3id.org/okn/o/sd#hasFormat,https://w3id.org/okn/o/sd#hasPresentation,https://w3id.org/okn/o/sd#hasDataTransformation
064c400e-22b6-4afe-8ab2-7894b3208cde,,input_std,,12,,,std,,
06673d30-c98b-46d5-9c33-1c6d345ebb97,,output_hru,,6,,,hru,,
0db78776-e9e0-499c-bc1b-82f852428210,,outputs1_rts,,3,,,rts,,
0e407070-2f3f-4f72-9a03-4f7639b07f1d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,33b67344-b83b-4fd1-97db-5f4bea1b825a,tif,hand_dem,
0ed487f0-443f-4fb6-a50f-81edfb0f8c8d,,outputs1_zip,,2,,,zip,,
0f47140e-13db-4f91-b0e8-7ca6f7b4b1a7,,chan_deg,,8,,,deg,,
103c5b0b-633e-4616-92a0-bde35de11d8a,,outputs1_zip,,2,,,zip,,
11aafc40-e10e-49c2-8b7a-e19e76a789b0,,outputs1_zip,,2,,,zip,,
1254e436-da17-46d9-8ebd-db3d9f255d7f,,output_csv,,1,,,csv,,
1259b441-7afd-4bdc-8534-e7387dbeed96,,hyd_out,,9,,,out,,
1338257b-f0ce-4149-937f-1b35a3ee5595,,outputs1_rts,,3,,,rts,,
13601abb-914a-4f51-a71a-fd1388e594c2,,outputs1_zip,,2,,,zip,,
164e7c50-d0de-4ee2-bd4b-a76245f5be0f,,outputs1_rti,,1,,,rti,,
1a215b09-0193-448b-ad60-6a4341ef9a97,,outputs1_rts,,3,,,rts,,
1a621384-9a92-4698-bfab-e11047022600,,outputs1_zip,,2,,,zip,,
208bf0b2-e05b-46cc-be59-ac82949dd110,,outputs1_zip,,2,,,zip,,
20f52d32-83d3-4c4f-86dd-9d63405ddbef,,outputs1_zip,,2,,,zip,,
214e4184-5594-4361-9d29-2c7be2f32410,,outputs1_zip,,2,,,zip,,
24a2b3f2-4cca-4875-89a7-fee8f5c0d301,,input_std,,12,,,std,,
24ba9498-94ae-4bc2-884e-2ce2178102a9,,pcp1_pcp,,2,,,pcp,,4b50502b-5003-4241-b974-e16309a5bfaf
2526093d-1ffe-4fc8-b5d1-e62b08a77227,,output_rsv,,11,,,rsv,,
26a97594-459e-4950-b986-c8ba57e1a121,,output_csv,,1,,,csv,,
28623c1e-423e-4ae8-b11e-37925c5a8145,,output_csv,,1,,,csv,,
2b8e2c42-bc43-497f-a445-f83e51b6640d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,13c1f934-21e7-47b8-b26a-3b93f1f8f8ec,tif,hand_dem,
2e3a9b3a-4e8f-43d4-9678-4dd4c8e743ce,,outputs1_zip,,2,,,zip,,
3044f978-b4c3-426f-b113-01d77685bbe3,,outputs1_rts,,3,,,rts,,
3083c6a8-a8a6-4c8e-b223-7b8ba778ebbb,,outputs1_zip,,2,,,zip,,
30ccbe0d-5b74-42b0-8e24-1f9764d90507,,outputs1_rti,,1,,,rti,,
329608c3-edd0-42a3-ad92-14d09a72cc03,,outputs1_rts,,3,,,rts,,
34061bc5-cfe7-4cc9-8ccb-323bf911a3e3,,outputs1_rti,,1,,,rti,,
35bd8fb8-2380-4c4d-b93c-3e644ab01c5b,,outputs1_zip,,2,,,zip,,
3855042d-00c7-4b70-9b15-05221833be58,,output_sub,,4,,,sub,,
3a23b0e7-0ed1-4a18-b09d-8cec3543dfff,,outputs1_rts,,3,,,rts,,
3f976a31-7341-45be-94fb-32920adafea9,,outputs1_rti,,1,,,rti,,
40265af8-ab4e-47e6-985d-28d944a9b19b,,outputs1_rts,,3,,,rts,,
409cfb20-b45f-4d06-a78e-b75c5a3f4c87,,output_sed,,1,,,sed,,
415ac62d-ece0-4cd3-bfbd-d4c07fd28391,,outputs1_zip,,2,,,zip,,
41b936a7-2ca4-4f58-ad8f-00d8813a802e,,outputs1_zip,,2,,,zip,,
42753b1d-559a-42f0-8068-6b87aa5abd1e,,septic_out,,2,,,out,,
42de5a2c-0439-4eb6-857c-623cae6f91bc,,outputs1_rti,,1,,,rti,,
43db68b5-663d-4061-a070-6ede2b567289,,outputs1_rti,,1,,,rti,,
460782ff-3a1b-4eed-80a5-c16916390175,,output_sed,,1,,,sed,,
4638236d-d47d-4dfb-95c7-15137ae0388e,,outputs1_rti,,1,,,rti,,
463e9b87-deae-4461-9cc2-171a946f027f,,bmp-ri_out,,5,,,out,,
4859de7d-0018-4aba-9193-b657146208fb,,outputs1_rts,,3,,,rts,,
4943b2e0-f4f1-4a77-a6e3-5ad223299f50,,outputs1_rti,,1,,,rti,,
4dd21551-ff56-4a7d-96af-adf36ae0e986,,outputs1_rti,,1,,,rti,,
4e9614d0-c0de-4d35-8f9a-cd54fc9a10a1,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,,tif,hand_dem,
501e3ff6-e171-4c26-a15b-7a9e81eec45f,,outputs1_rts,,3,,,rts,,
5052b782-406a-4764-a30c-0d55dea68b5c,,output_hru,,6,,,hru,,
519e6795-310e-46e6-a568-a4ef00cdef90,,hyd_out,,9,,,out,,
5463cab7-25bd-468f-af91-e2c5415b9560,https://w3id.org/wings/export/MINT#CyclesWeatherSoil,,,,,,,,
5519acce-f0f9-42e4-8195-ba2708c13177,,outputs1_zip,,2,,,zip,,
55a5dc44-5e9b-4691-b8a3-efd70b9a67ab,,outputs1_rts,,3,,,rts,,
55f521b4-7d74-44f3-9cd6-d99ace3e7b05,,fin_fin,,14,,,fin,,
564e51c5-0406-429b-bfb6-2e5dde171759,,outputs1_rti,,1,,,rti,,
56cb10e5-e286-409b-a2d1-1dd298e50ddc,,output_csv,,1,,,csv,,
597c5ac6-78ae-4c77-8da7-ab03f09f167d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,4c234618-d52f-412a-8f5f-1071a8b1b1bd,tif,hand_dem,
5a7fb943-6d03-4b07-8d96-09b9e6c0dbef,,outputs1_rts,,3,,,rts,,
5ad8a619-dceb-4d55-85ae-489cc614ce15,,outputs1_rti,,1,,,rti,,
5b4b0914-1a01-4805-864d-3d5dcdedd227,,outputs1_rti,,1,,,rti,,
5d1eb500-5a4a-4e9f-a73b-4ae85850b30a,,outputs1_zip,,2,,,zip,,
5e76bba3-2662-4a59-8918-49c129d097b2,,chan_deg,,8,,,deg,,
603df37d-9776-476a-a9bd-7e722ba3930c,,outputs1_rti,,1,,,rti,,
60bb1209-a42e-4af4-8f52-983001040b54,,outputs1_rts,,3,,,rts,,
612f55b6-cc9f-4b51-b651-f546be276da8,,outputs1_zip,,2,,,zip,,
616aca7c-419a-4340-ba29-ec7808667275,,outputs1_zip,,2,,,zip,,
635af5c3-31ed-40df-b7c7-372569ceaf0d,,outputs1_rts,,3,,,rts,,
63abfeb2-7204-4323-90d4-40a4774d20ed,,watout_dat,,3,,,dat,,
644647ab-fecb-48e3-9ac9-093227b86d48,,outputs1_rts,,3,,,rts,,
646def5f-240e-4388-aded-8c52ed493ef2,,septic_out,,2,,,out,,
656b978c-dc59-4da3-9a17-a728896bd442,,fin_fin,,14,,,fin,,
659fce6d-a35b-4bf2-80f9-c2db15e2ea54,,outputs1_zip,,2,,,zip,,
6657dd47-c9af-4b75-962f-7427a2938491,,outputs1_zip,,2,,,zip,,
66cbe709-d767-46c1-a20f-d8218ebcfaf6,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,aca40a22-b81c-4f92-88c7-1d436b91ae90,tif,hand_dem,
6a4b25e4-b772-41b1-8017-0150779e1d08,,bmp-ri_out,,5,,,out,,
71b18b30-1e94-458d-91a8-f32ac15db2ba,,outputs1_rti,,1,,,rti,,
73dfdbd4-5a26-47c3-b264-b46ffc2050f6,,output_rsv,,11,,,rsv,,
7426678f-6d90-4381-a1a2-21b7b9c9736f,,output_sub,,4,,,sub,,
746d9402-db31-4dbf-b04e-6921dda0f75a,,outputs1_rts,,3,,,rts,,
