https://w3id.org/okn/o/sd#SoftwareVersion,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasConfiguration,https://w3id.org/okn/o/sd#hasVersionId,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#tag,https://w3id.org/okn/o/sd#hasFunding,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDocumentation,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasExplanationDiagram
936dd933-d121-46a4-abea-d4373cc87bac,,v1,v1,,,,,db5c4112-4d56-4e16-a0a7-5d7a22e72987;ebdc9a05-b852-41a5-b87b-c7c76e47bbf0;51018fe2-5663-4db7-90c3-a33d09dc12a5,v1,,,,,,,,,,,,,,
ClimComp_0.0.2,https://w3id.org/okn/o/sdm#EmpiricalModel,climcompv0.0.2,,khider_deborah,,hydrology;flood map,Weather,clim_comp_P;clim_comp_T,0.0.2,,,,latest,,,,,,,,,,
DSSAT_4.7,https://w3id.org/okn/o/sdm#Theory-GuidedModel,DSSAT v4.7,,,,,Agriculture,DSSAT_cfg_simple,4.7,,,,,DSSAT_4.7_funding,,,,,,,,,
EACS_2.0,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 2.0,Initial version of the model prepared as a component for a workflow,cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economic-v2,2,,,,,EACS_2.0_funding,virginia_tech,,,,,,,,
EACS_6.0,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 6.0,Version of the model exposing fertilizer increments,zhang_zeya;cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economic-v6,6,,,6/24/2019,,EACS_6.0_funding,virginia_tech,,,,,,,,
EACS_6.1,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 6.1,Version of the model exposing increments for crops and calibration outputs,zhang_zeya;cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economicGambella-v6.1;economic-v6.1;economic-v6.1_single_crop,6.1,,,6/24/2019,,EACS_6.1_funding,virginia_tech,,,,,,,,
EACS_7,https://w3id.org/okn/o/sdm#Theory-GuidedModel,EACS 7,Version of the model exposing increments for crops and calibration outputs,zhang_zeya;cobourn_kelly,,economy; land use; crop production; fertilizer costs,Economy,economic-v7,7,,,12/20/2019,latest,EACS_6.1_funding,virginia_tech,,,,,,,,
HANDv1,https://w3id.org/okn/o/sdm#EmpiricalModel,HANDv1,,taborton_david,,hydrology;flood map,Hydrology,hand_v1_simple,1,,,,,,,,,,,,,,
HANDv2,https://w3id.org/okn/o/sdm#EmpiricalModel,HANDv2,,hardesty_daniel,,,Hydrology,hand_v2_raster;hand_v2,2.0.0,,,,latest,,,,,,https://github.com/dhardestylewis/HAND-TauDEM,,,,
cycles_v0.10.2_alpha,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Cycles v0.10.2-alpha,Version 0.10.2 of Cycles allowing exposing multiple parameters,kemanian_armen;shi_yuning,,agriculture; cycles; crop growth; weather;soil;crop management,Agriculture,cycles-0.10.2-alpha-collection,0.10.2-alpha,,,,latest,,,,,,,,,,
cycles_v0.9.3_alpha,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Cycles v0.9.3 alpha,,kemanian_armen;shi_yuning,,agriculture; cycles; crop growth; weather;soil;crop management,Agriculture,cycles_multiple_points;cycles,0.9.3,,,,,,,,,,,,,,
cycles_v0.9.4_alpha,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Cycles v0.94-alpha,Version 0.9.4 of Cycles allowing exposing multiple parameters,kemanian_armen;shi_yuning,,agriculture; cycles; crop growth; weather;soil;crop management,Agriculture,cycles-0.9.4-alpha,0.9.4-alpha,,,,,,,,,,,,,,
dsi_1.0,https://w3id.org/okn/o/sdm#EmpiricalModel,DI v1,"This Python routine calculates three climate indices based on NetCDF input data from CHIRPS, GLDAS, and FLDAS:

    SPI: Standardized Precipitation Index, utilizing both gamma and Pearson Type III distributions. - CHIRPS, GLDAS, FLDAS
    SPEI: Standardized Precipitation Evapotranspiration Index, utilizing both gamma and Pearson Type III distributions. - GLDAS, FLDAS
    PET: Potential Evapotranspiration, utilizing Thornthwaite equation. - GLDAS, FLDAS

This package is based upon Climate Indices in Python. The Climate Indices in Python project contains implementations of various algorithms which provide a geographical and temporal picture of the severity of precipitation and temperature anomalies for climate monitoring and research.

This project builds upon this software package to include additional sources of climate data, namely GLDAS and CHIRPS.",khider_deborah,,climate; drought index,Hydrology,dsi_1.0_cfg,1,Support for datasets from FLDAS and combined netcdf file. Visualization support for SPI and SPEI.,,1/30/2020,latest,,,,,,,,,,
e92fbfdb-dc86-476b-a533-0d84c58d5671,,New version ,DESC,c2ce336c-4b89-4775-8a5f-0ed4c377cb7c,,,,,,,,,,,,,,,,,,,
