https://w3id.org/okn/o/sd#Parameter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasDataType,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#recommendedIncrement,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sdm#relevantForIntervention,https://w3id.org/okn/o/sd#adjustsVariable,https://w3id.org/okn/o/sd#hasFixedValue,https://w3id.org/okn/o/sd#hasAcceptedValues
00743715-b18f-47fb-a1c7-38330ad3873b,,csv_output_file,,string,/tmp/mint/output.csv,,,8,,,,,,
07da505b-4a59-4fe6-8e7c-6726379676c2,,data_set_id,,,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
18888c13-85c0-4358-affd-2362b3f92f4e,,agg_function,,string,average,,,3,,,,,,
18f4218f-2852-4be2-bf28-ffb18d1ac552,,agg_time_period,,string,day,,,4,,,,,,
1d974b34-89fc-4b01-aba5-c83e62732482,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
20e7c092-56d3-4903-8e94-1d2ac230e345,,unit_multifier,,,3600,,,8,,,,,,
23623dda-c849-4508-97df-4b6ad8953e5e,,range_step_time,,string,P1D,,,7,,,,,,
257ba0f6-f2c3-4b23-96f0-1d0a60b43e22,,variable,,,atmosphere_water__rainfall_mass_flux,,,4,,,,,,
281cbdff-735e-43bc-99de-44da3ad2ce8b,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,,pixel,,,500,
2ae04ea6-a984-4cb0-90e0-050252f5db75,,DEM_xres_arcsecs,,,30,,,6,,,,,,
4413af91-12f6-4b8e-bceb-13fa250477e3,,gldas_dataset_id,,string,5babae3f-c468-4e01-862e-8b201468e3b5,,,1,,,,,,
