https://w3id.org/okn/o/sdm#CausalDiagram,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sdm#hasPart
pihm_cfg_simple_CAG,CAG for PIHM simple configuration,pihm_precipitation_process;pihm_solarradiation_process;pihm_transpiration_process;pihm_evaporation_process;pihm_runoff_process;pihm_infiltration_process
pihm_cfg_simple2_CAG,CAG for PIHM simple configuration with additional input variables,pihm_precipitation_process;pihm_solarradiation_process;pihm_transpiration_process;pihm_evaporation_process;pihm_runoff_process;pihm_infiltration_process
cycles_cfg_simple_CAG_process,CAG for Cycles simple configuration with processes,cycles_precipitation_process;cycles_solarradiation_process;cycles_management_process;cycles_transpiration_process;cycles_biomassgrowth_process;cycles_Nuptake_process;cycles_respiration_process;cycles_humification_process;cycles_Ntransport_process;cycles_Nmineralizationandimmobalization_process
cycles_cfg_simple_CAG,CAG for Cycles with the most important variables in the model,cycles_cropGrowth;cycles_pp;cycles_tx;cycles_tn;cycles_sr;cycles_hx;cycles_hn;cycles_ws;cycles_grain_yield;cycles_swc;cycles_transpiration
cycles_cfg_complex_CAG,CAG for Cycles representing a more complex version of the variables and processes of the model,cycles_cropGrowth;cycles_pp;cycles_tx;cycles_tn;cycles_sr;cycles_hx;cycles_hn;cycles_ws;cycles_grain_yield;cycles_swc;cycles_transpiration;cycles_n_stress;cycles_mineralization;cycles_net_mineraliz;cycles_soil_evapr;cycles_soil_evap;cycles_infiltration;cycles_cn;cycles_slope;cycles_layer;cycles_dz;cycles_clay;cycles_silt;cycles_rv;cycles_bd;cycles_som;cycles_smc;cycles_percolation
economic_aggregate_crop_supply_CAG_process,CAG for Economic model for aggregate crop supply response model processes for the country of South Sudan configuration,crop_yield_elasticity_process;crop_prices_process;fertilizer_prices_process;land_use_process;fertilizer_use_process;crop_supply_process;crop_yield_process
economic_aggregate_crop_supply_CAG_variables,CAG for Economic model for aggregate crop supply response model variables for the country of South Sudan configuration,econ_xbar1;econ_xbar2;econ_ybar;econ_p;econ_c1;econ_c2;econ_ybarN;econ_land_area;econ_obsyield;econ_production;econ_eta
topoflow_cfg_simple_CAG,CAG forTopoFlow with basic configuration,
dssat_cfg_simple_CAG,CAG for DSSAT simple configuration with explicit outputs,
topoflow_cfg_fk_CAG,CAG for TopoFlow with fake configuration to emulate PIHM,
dssat_cfg_fk_CAG,CAG for DSSAT with fake configuration to emulate Cycles,
