https://w3id.org/okn/o/sd#FundingInformation,https://w3id.org/okn/o/sd#fundingGrant,https://w3id.org/okn/o/sd#fundingSource
PIHM_funding,,nsf
CYCLES_funding,"""USDA AFRI OREI #2014-51300-22231 USDA AFRI Climate #2014-68002-21768 NESARE #LNE18-367-32231 NSF CNH #1517823 EPA #""",usda;nsf
ECONOMIC_AGGREGATE_CROP_SUPPLY_funding,,darpa
TOPOFLOW_funding,,nsf
DSSAT_funding,,usaid
MODFLOW_funding,,usgs
WGEN_funding,,erc;snwf
ClimComp_funding,,darpa
SWAT_funding,,usda;tamu_agrilife
KIMETRICA_LAND_USE_funding,,nsf
kimetrica_0.0_funding,,darpa
EACS_2.0_funding,,darpa
EACS_6.0_funding,,darpa
EACS_6.1_funding,,darpa
DSSAT_4.7_funding,,usgs
modflow_2005_funding,,darpa
wgen_1.0.1_funding,,darpa
