https://w3id.org/okn/o/sdm#Grid,http://www.w3.org/2000/01/rdf-schema#label,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sdm#hasDimension,https://w3id.org/okn/o/sdm#hasShape,https://w3id.org/okn/o/sdm#hasSpatialResolution,https://w3id.org/okn/o/sdm#hasCoordinateSystem
econ_grid,Grid from the economic crop supply model,https://w3id.org/okn/o/sdm#PointBasedGrid,Grid from the economic crop supply model,0D,Point,Point,
pihm_grid_SS,Grid from the PIHM hydrology model for the Pongo/South Sudan region,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the PIHM hydrology model for the region of south Sudan,2D,Triangular,50m-200m,
pihm_grid_Ethiopia,Grid from the PIHM hydrology model for the Baro region in Ethiopia,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the PIHM hydrology model for the region of south Sudan,2D,Triangular,50m-200m,
pihm_grid_general,Grid from the PIHM hydrology model,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the PIHM hydrology model,2D,Triangular,variable range,
topoflow_grid_Baro,Grid from the TopoFlow hydrology model for the area of South Sudan,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the TopoFlow hydrology model,2D,,100x100m,
topoflow_grid_general,Grid from the TopoFlow hydrology model,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the TopoFlow hydrology model,2D,,variable range,
cycles_grid,Grid from the Cycles agriculture model,https://w3id.org/okn/o/sdm#PointBasedGrid,Grid from the Cycles agriculture model,0D,Point,Point,
swat_grid,Grid from the SWAT model,,Grid from the SWAT model,,,,
modflow_grid_general,Grid from the Modflow2005 model,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the Modflow2005 model,3D,Block structure,variable range,
hand_grid,Grid from the HAND model,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the HAND model,2D,,variable range,
hand_grid_texas,Grid from the HAND model,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,Grid from the HAND model,2D,,10x10m,
fsi_grid,Grid from the flood severity index model,https://w3id.org/okn/o/sdm#SpatiallyDistributedGrid,2D Grid - same as input data,2D,,0.1deg x 0.1 deg,
