https://w3id.org/okn/o/sd#DatasetSpecification,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#hasDimensionality,https://w3id.org/okn/o/sd#hasFixedResource,https://w3id.org/okn/o/sd#hasFormat,https://w3id.org/okn/o/sd#hasPresentation
0077191a-8b70-418f-93d2-7c9296289240,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,24502cd1-7d4b-44c1-84c7-3b341ca0af24,tif,hand_dem
03bef80b-90fe-4ca5-a934-1598b0735bbb,https://w3id.org/wings/export/MINT#MODFLOWBas6,bas6,Basic Package Input for the Groundwater Flow Process Basic file,1,0,,ba6,modflow2005_strt
04d764ca-1388-42f8-b7f3-5c7e3b6b0e7c,https://w3id.org/wings/export/MINT#MODFLOWrch,rch,Recharge file,7,0,,dat,modflow2005_rech
12dab64d-464b-4c11-a740-63ccf2561277,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,bfc7c3b3-6eb5-40d3-9708-24b99edab4d3,tif,hand_dem
13152a17-6ef5-48fd-ae11-080eb19b1758,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,247e697b-26cb-4110-9f01-34aa8cd8851f,tif,hand_dem
149eb5a9-962e-4187-b491-d1b1e81031a1,https://w3id.org/wings/export/MINT#MODFLOWBas6,bas6,Basic Package Input for the Groundwater Flow Process Basic file,1,0,,ba6,modflow2005_strt
161f3b1e-2046-4c18-91cd-70faf28512ac,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin,1,0,,tif,hand_dem
17198d30-96c5-4f79-ae32-a29c93c5b86d,https://w3id.org/wings/export/MINT#rasterDem,input-dem,Input digital elevation model for the target basin to run the model,1,0,bce46e79-117c-455a-b240-1d5b8d3edd40,tif,hand_dem
199370ea-d0f4-4424-8fcb-f8e1df71b837,https://w3id.org/wings/export/MINT#MODFLOWrch,rch,Recharge file,7,0,,dat,modflow2005_rech
1f12e38e-ecaa-420d-b4fa-885ed318c304,https://w3id.org/wings/export/MINT#MODFLOWsip,sip,Strongly Implicit Procedure package file,9,0,,dat,
