https://w3id.org/okn/o/sd#Parameter,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasDataType,https://w3id.org/okn/o/sd#hasDefaultValue,https://w3id.org/okn/o/sd#hasMaximumAcceptedValue,https://w3id.org/okn/o/sd#hasMinimumAcceptedValue,https://w3id.org/okn/o/sd#position,https://w3id.org/okn/o/sd#usesUnit,https://w3id.org/okn/o/sd#recommendedIncrement,https://w3id.org/okn/o/sdm#relevantForIntervention,https://w3id.org/okn/o/sd#adjustsVariable,https://w3id.org/okn/o/sd#hasFixedValue,https://w3id.org/okn/o/sd#hasAcceptedValues
04f1d484-7edd-4693-9ce6-3f8db349f6e5,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
08919bc9-5665-4a05-8243-617375d0b756,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
0a11020d-071c-4871-afa8-856892f34224,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
1c33304f-ad56-4cc2-b295-1c84969e71f8,https://w3id.org/wings/export/MINT#StartYear,calibration_start_year,The start year for the calibration,integer,2000,,,12,,,,,2000,
20cf5b57-0f8f-493d-9651-5fc1c1bd18e2,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
239a2349-9473-430c-b113-967c057ed2c8,https://w3id.org/wings/export/MINT#Adjustment,max_lat,maximum latitude,float,32,37,26,6,,,,,37,
2a1cc8d6-7706-49aa-b2d3-8600d18efe69,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
2a41d80e-cc91-4137-8a14-f4855abcfdc5,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
3473633c-6e0d-4528-8852-46f6cd044a67,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,-50,-1,-100,1,pixel,,,,-12,
359b4654-3c9c-4a88-9710-cfe64f302bed,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
39730a76-f543-4acc-9844-c67f1176b106,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
610b241c-5407-470e-91f8-ed3fef189a04,https://w3id.org/wings/export/MINT#GenerateImage,generate_visualization,"If True, will generate a movie. PET visualization is not currently supported",boolean,True,,,14,,,,,True,
61cc496e-8ab5-4b91-9fdc-d64cb14f6314,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
7097e704-fb74-4a86-97d8-6f7429ddd365,https://w3id.org/wings/export/MINT#MaxLatitude,max_lat,maximum latitude,float,12,,,5,degree,,,,,
73c81cfc-4b52-442e-bd37-b211f9e9f527,https://w3id.org/wings/export/MINT#Adjustment,max_long,maximum longitude,float,100,107,93,4,,,,,107,
7789bf6d-d5af-41e6-b790-fd2b99e814dd,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
834786b3-26d3-46b3-87ea-e49cba2cf4ec,https://w3id.org/wings/export/MINT#MaxMonth,max_month,maximum month,float,8,,,7,month,,,,8,
85da2004-8c70-440a-9a85-2dc8cec53169,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
88267d1d-d532-4f7a-8dbd-8384fa4ac53e,https://w3id.org/wings/export/MINT#ScalesAdjustment,scales,Either '6' or '12' month,integer,6,12,6,9,,,,,6,
971a09bf-2ed8-486e-afb9-9798361367dc,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
980494cf-396b-448a-a1e4-9c51a215e873,https://w3id.org/wings/export/MINT#IndexType,index,"The index to be calculated.

    SPI: Standardized Precipitation Index, utilizing both gamma and Pearson Type III distributions
    PET: Potential Evapotranspiration, utilizing Thornthwaite equations
    SPEI: Standardized Precipitation Evapotranspiration Index, utilizing both gamma and Pearson Type III distributions.",string,SPI,,,2,,,,,SPI,
99c24aa2-51e1-4345-a9ac-9ea5181b777f,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
9a1847fd-b7c7-4f22-b347-2693ddf9b5a6,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
9b9b8890-9731-4c84-b5b9-31634ab3ea03,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,500,,0,1,pixel,,,,500,
9c90a833-042c-4608-9aca-5a550b757a8b,https://w3id.org/wings/export/MINT#EndYear,calibration_end_year,The end year for the calibration.,integer,2017,,,13,,,,,2017,
9fde488d-083a-458e-8bb4-c917dd109dcd,https://w3id.org/wings/export/MINT#Adjustment,threshold,"Threshold determines the order of the river network.  Minimum is zero, Maximum is the number of pixels in the image.  Higher value will simulate only main river channels, lower looks at more tributaries.  Note that a zero value is too extreme. Default is 500.",float,50,,0,1,pixel,,,,,
a0725999-29fd-48a0-9f9f-2188e5d19ea5,https://w3id.org/wings/export/MINT#StartYear,data_start_year,The year for which to start calculating the Index,integer,2008,,,10,,,,,2008,
a0f6390a-56a9-46ae-a27e-a7406d5eada0,https://w3id.org/wings/export/MINT#EndYear,data_end_year,The year for which to end the calculation,integer,2017,,,11,,,,,2017,
a117a220-5545-458d-85f1-2c103b96bfc6,https://w3id.org/wings/export/MINT#MinLongitude,min_lon,minimum longitude,float,2.42E+01,,,2,degree,,,,22,
acd0264e-1d25-496c-a3aa-06187a7e299f,https://w3id.org/wings/export/MINT#PeriodicityAdjustment,periodicity,monthly. Daily calculations are not supported in the current version,string,monthly,,,8,,,,,monthly,
