https://w3id.org/okn/o/sdm#Model,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#hasVersion,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasExample,https://w3id.org/okn/o/sd#hasUsageNotes,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sd#hasDocumentation,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#datePublished,https://w3id.org/okn/o/sd#hasFunding,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasFAQ,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasTypicalDataSource,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#license,https://w3id.org/okn/o/sd#logo,https://w3id.org/okn/o/sd#memoryRequirements,https://w3id.org/okn/o/sd#operatingSystems,https://w3id.org/okn/o/sd#processorRequirements,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#referencePublication,https://w3id.org/okn/o/sd#screenshot,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#softwareRequirements,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasEquation,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasExplanationDiagram,https://w3id.org/okn/o/sd#hadPrimarySource,https://w3id.org/okn/o/sdm#usefulForCalculatingIndex
PIHM,Penn State Integrated Hydrology Model (PIHM),pihm_2.2;pihm_v4,"""The Penn State Integrated Hydrologic Modeling System (PIHM) is a finite volume code used for simulating the distributed hydrologic states of a given watershed or river basin. PIHM accounts for many physical processes including: land surface processes (evaporation- transpiration, canopy interception,  snowmelt) overland/channel flow coupled to groundwater flow. PIHM can include reservoirs and flow control structures. PIHM applies adaptive time stepping and uses the method of lines to solve the system of implicit equations.""","An example of the PIHM Model for the Pongo basin in South Sudan can be browsed by using the following Notebook (Wolfram Mathematica CDF player is needed to visualize and change the results of the notebook): https://files.mint.isi.edu/s/oLw76x6chUNXOc0/download

Alternatively, you may browse the following PDF for a non-interactive version of the example: https://files.mint.isi.edu/s/tmn7sRjjPh7BZvK/download",,Hydrology,"""PIHM uses a finite volume numerical procedure that resolves the domain into triangular prisms from bottom of groundwater to top of canopy. The state variables within each prism are fully coupled internally and with adjacent cells such that a mass balance is assured at each cell and globally across the domain.""",http://www.pihm.psu.edu,https://w3id.org/okn/o/sdm#Theory-GuidedModel,duffy_christopher;shu_lele,"""Qu, Yizhong; Duffy, Christopher J.; 2007. A semidiscrete finite volume formulation for multiprocess watershed simulation: MULTIPROCESS WATERSHED SIMULATION. Water Resources Research, 43, . 10.1029/2006WR005752""",,2007,,PIHM_funding,duffy_christopher,http://www.pihm.psu.edu/pihmgis_downloads.html,,http://www.pihm.psu.edu/Downloads/Doc/Installation_guide.pdf,surface water modeling; flooding prediction,pihm_sample_Pongo,pihm_source,,channel routing; surface overland flow; subsurface flow; interception; snow melt; evapotranspiration; semi-discrete approach,https://creativecommons.org/publicdomain/zero/1.0/,pihm_logo,,Windows; Mac; Linux,,penn_state_university,"Yu; Xuan; Christopher Duffy; Gopal Bhatt; Yuning Shi; L. N. Leonard; and Mukesh Kumar. ""Real-Time Implementation of the Penn State Integrated Hydrologic Modeling System: The Shale Hills Critical Zone Observatory."" In AGU Fall Meeting Abstracts; vol. 1; p. 1149. 2010",,The Penn State Integrated Hydrologic Modeling System (PIHM) is a program used for simulating the distributed hydrolic states of a given watershed.,sundials2.2.0,http://www.pihm.psu.edu/index.html,,pihm_grid_general,pihm_forrester;pihm_explanation_diagram,http://www.pihm.psu.edu/,channel~stream_water__flow_duration_index
CYCLES,Cycles,cycles_v0.9.3_alpha;cycles_v0.9.4_alpha;cycles_v0.10.2_alpha,"""Cycles simulates the productivity and the water,carbon and nitrogen balance of soil-crop systems subject to climate conditions and a large array of management constraints. Overall the model is set up to be daily. Some processes such as water balance are temporally nested (subdaily).""","#### Below is an illustrative example on how to use Cycles.
---
General instructions: When using the Cycles AgroEcosystems Model in any region, you should follow the steps indicated below :

1) Find your field location using a map. Cycles is a point-based model, and you will need information about the soil and weather for the point being simulated.

2) [Expert users/modelers] Check the default control properties. These can be found in the Cycles control file. In the MINT configuration of Cycles, this file is not exposed, but can be found by downloading the component and looking at the technical details.
 
3) Check the soil values for the chosen location (by default Cyles uses [GSSURGO](https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/home/?cid=nrcs142p2_053628)) properties from your field location.
 
4)  Select the weather location (by default Cycles tries to use the closest GLDAS grid) for your field location. A python script is used to read GLDAS netCDF4 files, aggregate subdaily GLDAS forcing data to daily resolution, and output the daily variables in text format to be used by Cycles.
 
5) **[Expert users/modelers]** Create operations for your field location using the Operation Panel and/or Timeline. In the MINT configuration of Cycles, this file is not exposed, but can be found by downloading the component and looking at the technical details.

6) Inspect/visualize model results.


**Scenario**: In our case we want to calculate the Seasonal Crop Production Index for the Pongo basin in South Sudan, because it provides a fast and robust way of reporting normalized yields for a given grid point or region. The goal of the index is to easily segment “years” or “seasons” that can be problematic for food production, and to provide an intuitive sense of the magnitude of the problem. The raw yield outputs might be difficult to interpret for non-experts, and index is more transparent.

The Seasonal Crop Production Index is based on the ratio of the yield of a given combination of planting date, fertilization and weed pressure to the median yield under such conditions across years:
 
 * An index = 1 means that the year resembles the median years, and it is assumed that it represents a neutral condition (neither local excess or shortage of food supply). 
 * An index > 1 means that the local food supply may exceed the median, and the larger the number the better off the location. The caveat here is that flooding damage might be underestimated. As we refine our simulations this limitation will be lifted.
 * An index < 1 means a situation worse than normal, and the lower the value the worse the situation. It is safe to assume that this is a reliable indicator of local food shortage.

**Data sources**:When attempting to follow the steps indicated above, the most difficult challenge is finding weather and soil files for our target region, as they are not available in GSSURGO or NLDAS. Therefore we selected the soils information from [USDA](https://www.nrcs.usda.gov/wps/portal/nrcs/detail/soils/survey/tools/?cid=nrcseprd1407030), and [Global Land Data Assimilation System (GLDAS)](https://ldas.gsfc.nasa.gov/gldas) for the weather data. GLDAS has coarser temporal resolution than NLDAS, but has global coverage which is critical in our use case.

**Results**: We executed Cycles in 209 locations we selected in the Pongo region, selecting ""Maize"" as our target crop and with multiple fertilization rates and weed fraction. Figure 1 shows the Variation of the Seasonal Crop Production Index for maize for one agricultural grid point in the Pongo Basin, after consolidating the results of each of the executions. The nitrogen rates represent from low to high fertilization (for the agronomy minded, 78 to 1250 kg/ha of raw fertilizer with 32% nitrogen). The 0.4 in the legend indicates the weed pressure (medium). The planting dates are not shown here, but an analyst can easily explore their impact by expanding the data selection. Clearly, years 2011, 2016 and 2017 in particular were problematic. 

![Fig1](https://files.mint.isi.edu/s/ez3Q7C7HhiBY52I/download)

**Figure 1:  Variation of the Seasonal Crop Production Index for maize for one agricultural grid point in the Pongo Basin.**

---
For more information on using Cycles, please see https://www.cycles-model.psu.edu/Cycles/CyclesModel.html.
",,Agriculture,"""The simulation unit in Cycles is a field with a single soil (soil file) that is layered (user defined number of layers) exposed to a daily weather (weather file) and subject to operations (operations file) that control soil properties; vegetation properties (crop file) and surface residue properties. Variables in weather file are considered rigid forcings. Surface conditions do not alter air temperature or moisture. Soil is connected to the residues, aboveground living biomass, air, and radiation from the atmosphere, and with the bottom of the profile. There is no lateral water or solutes movement within the soil profile. When running stand alone, runoff and percolation water simply leaves the simulation unit. Vegetation can be composed of monocultures (single species) or multiple species. The parameters describing each plant of the community are described in the crop file. The operations file allows multiple types of interventions organized as tillage, fertilization, and planting events. Operations like kill crop are part of tillage. To enable coupling with other models, Cycles can be set to replace (re-initialize) internally calculated variable with external inputs. For example, infiltration can be an input from the PIHM model, soil moisture can be reset based on observations or data from other models. This flexibility extends to all state variables. Re-initialization algorithm can break the mass balance and is not recommended unless the goal overrides mass or energy balance concerns. Overall the model is set up to be daily. Some processes such as water balance are temporally nested (subdaily)
""",https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles,https://w3id.org/okn/o/sdm#Theory-GuidedModel,kemanian_armen;stockle_claudio;shi_yuning;white_charlie,,,2016,,CYCLES_funding,kemanian_armen,https://github.com/PSUmodeling/Cycles,,http://psumodeling.github.io/Cycles/,crop seasonal production,,,,Agriculture; crop yield; crop failure; weather; fertilizer; crop management,,cycles_logo,,Windows;Unix,,penn_state_university,,,,,https://plantscience.psu.edu/research/labs/kemanian/models-and-tools/cycles,,cycles_grid,cycles_forrester,,crop__seasonal_production_index
ECONOMIC_AGGREGATE_CROP_SUPPLY,Economic aggregate crop supply response model (EACS),EACS_2.0;EACS_6.0;EACS_6.1;EACS_7,"""The Aggregate crop supply response model (EACS) describes an aggregate crop supply response model for a region (tested for South Sudan). This is a regional-scale aggregate model of agricultural supply for a specified set of crops (cassava, groundnuts, maize, sesame seed, and sorghum).""","""#### Below is a brief illustrative example to understand how this model can be used in MINT.
---
**Scenario**: The South Sudan government plans to implement a regional fertilizer subsidy program to help the farmers in Pongo Basin area to achieve a higher level of yield and alleviate the food insecurity issue. The rate of fertilizer subsidy has not yet decided. 

An analyst can use EACS within MINT to simulate how different levels of fertilizer subsidy rate (ranging from 10% to 50%, fully subsidized) would lead to different levels of output variables such as production and land use for each type of crops considered in the model. Based on the simulation results, analysts can decide what’s the optimal rate of fertilizer subsidy rate they want to apply in reality. The economic model consists of a numerical simulation of a non-linear constrained optimization problem that is calibrated to reflect observed decision-making in the study region. The calibration approach uses Positive Mathematical Programming (PMP), which ensures that the simulation model reflects unobserved constraints (e.g., access to credit, labor availability, crop rotation practices) that affect decisions about agricultural production. By varying related parameters (prices, land/fertilizer cost) one at a time between -50 and 50 (increment by 10) for each crop (cassava,  sorghum, maize, groundnuts, and sesame), simulated crop production results are generated to predict how farmers react to potential economic condition changes.

The model is an aggregate and represents decision-making by all agricultural households in the study region. The model predicts agricultural production, taking into account the behavioral response of farming households to changes in environmental, economic, and policy drivers. Output variables include the total amount of land in agricultural production, the amount of land and fertilizer used per unit area in the cultivation of each of the region’s crops, average crop yields, and net revenues earned in agricultural production. For the Pongo Basin in South Sudan, the model generates these output variables for maize, cassava, sorghum, groundnuts, and sesame seed crops.

In our scenario, analysts are trying to determine an optimal fertilizer subsidy rate for farmers in Pongo Basin to promote crop yield in 2017 lean season. The fertilizer subsidy rate can vary from 10% to 50%. 
Initially, the baseline simulated crop yield and production are displayed in Figure 1:  


![Fig1](https://files.mint.isi.edu/s/ILn4cnLyy8V0eRI/download)

**Figure 1: Estimated baseline yield and production per crop**


By imposing a 20% fertilizer subsidy, we expect the farmers to use more fertilizer as inputs for some crops thus leading to higher yield and production level and eventually higher revenue level and alleviate the food insecurity problem in Pongo Basin area during the 2017 lean season. By using EACS, the simulated yield and production level after imposing the intervention (i.e., 20% decrease in fertilizer cost for all crops, assuming the fertilizer subsidy applies to all crops within this area) is displayed in Figure 2.

![Fig2](https://files.mint.isi.edu/s/JLWumO6NrCPW5NR/download)

**Figure 2: Estimated yield and production per crop with a 20% decrease in fertilizer cost for all crops**
  
By comparing the baseline and intervention (20%) outputs, analysts may find a 20% fertilizer subsidy program lead to higher yield level for cassava and maize and higher production level for sorghum. Since the goal of the economic model is to maximize the total revenue of the farmers within this area, analysts would see the farmers make new decisions on fertilizer use and land allocation on different crops based on different interventions they choose. 

Under the same logic, analysts can run similar simulations for 10%. 30%, 40% and 50% fertilizer subsidy interventions and check the new outcomes. We display only two outcome variables of Economic model: Yield and Total Production. Extra outcome variables such as land use, fertilizer application rate and total fertilizer use are also available for analysts to check and compare within in the MINT system.  

By running multiple simulations with different economic interventions, analysts would have a general idea of how the proposed policy may impact the agricultural and economic outcomes of their interest area. The economic model outcome variables can also help them to further calculate the cost and benefit of the potential policy and finalize their decisions on policy-making. 

**Data sources**: In this scenario, the model was configured using Food and Agriculture Organization 2015 production data for baseline land use, yield and production level (http://www.fao.org/faostat). 
 Crop price data are World Food Programme database (https://data.humdata.org/dataset/wfp-food-prices-for-south-sudan) and estimated elasticities from related literatures. 

The model was calibrated from national/regional observed data on land use and crop production level for behavior parameters, to produce optimal simulation outputs under various adjustments to variables within the model.""
 
",,Economy,"""The model calibrates the parameters of a constant elasticity of substitution (CES) production function and linear cost function using the positive mathematical programming (PMP) method. Calibration relies on observed data on agricultural input use (land and fertilizer) and crop yields. Markets are assumed complete.""",,https://w3id.org/okn/o/sdm#Theory-GuidedModel,cobourn_kelly,,,2018,,ECONOMIC_AGGREGATE_CROP_SUPPLY_funding,,,,,optimal fertilizing rates; estimated yield,,,,economy; land use; crop production; fertilizer costs,,eacs_logo,,Windows;Unix,,virginia_tech,,,,,,,econ_grid,,,
TOPOFLOW,TopoFlow,topoflow_3.5;topoflow_3.6,"""Topoflow is a powerful spatially-distributed hydrologic model for various physical processes in a watershed, with the goal of accurately predicting how various hydrologic variables will evolve in time in response to climatic forcings.""",,,Hydrology,,https://github.com/peckhams/topoflow/blob/master/docs/,https://w3id.org/okn/o/sdm#Theory-GuidedModel,peckham_scott,"Peckham; S. D. ""Geomorphometry and spatial hydrologic modelling."" Developments in Soil Science 33 (2009): 579-602.",hinzman_larry;bolton_bob;over_thomas;liljedahl_anna,2002,,TOPOFLOW_funding,peckham_scott,https://csdms.colorado.edu/pub/models/doi-source-code/topoflow-10.1594.IEDA.100174-3.1.0.tar.gz,,https://csdms.colorado.edu/wiki/Model:TopoFlow,,topoflow_vis,topoflow_source,,snowmelt;precipitation;evapotranspiration;infiltration;channel/overland flow;shallow subsurface flow;flow diversions,,topoflow_logo,,Windows;Unix,,colorado_university,"Peckham; S. D. ""Geomorphometry and spatial hydrologic modelling."" Developments in Soil Science 33 (2009): 579-602.",,,IDL 6.0 or 6.3,https://csdms.colorado.edu/wiki/Model:TopoFlow,,,,https://csdms.colorado.edu/wiki/Model:TopoFlow,downstream_volume_flow_rate
DSSAT,Decision Support System for Agrotechnology Transfer (DSSAT),DSSAT_4.7,"""Decision Support System for Agrotechnology Transfer (DSSAT) is software application program that comprises dynamic crop growth simulation models for over 40 crops. DSSAT is supported by a range of utilities and applications for weather, soil, genetic, crop management and observational experimental data. Includes example data sets for all crop models. The crop simulation models simulate growth, development and yield as a function of the soil-plant-atmosphere dynamics (https://dssat.net/. 2019)""",,,Agriculture,,https://dssat.net,https://w3id.org/okn/o/sdm#Theory-GuidedModel,hoogenboom_gerrit;porter_cheryl;boote_ken;singh_upendra;white_jeff;shelia_vakhtang,"""Hoogenboom; G.; C.H. Porter; V. Shelia; K.J. Boote; U. Singh; J.W. White; L.A. Hunt; R. Ogoshi; J.I. Lizaso; J. Koo; S. Asseng; A. Singels; L.P. Moreno; and J.W. Jones. 2019. Decision Support System for Agrotechnology Transfer (DSSAT) Version 4.7.5"" (https://DSSAT.net). DSSAT Foundation; Gainesville; Florida; USA.",,1989,,DSSAT_funding,,https://apps.agapps.org/ide/serial/index.php/request?sft=3,,,,,,,Decision Support System; Agrotechnology; crop growth simulation; weather; soil; genetic; crop management;soil-plant-atmosphere dynamics,,dssat_logo,,Windows;Unix,,dssat_foundation,"""Hoogenboom; G.; C.H. Porter; V. Shelia; K.J. Boote; U. Singh; J.W. White; L.A. Hunt; R. Ogoshi; J.I. Lizaso; J. Koo; S. Asseng; A. Singels; L.P. Moreno; and J.W. Jones. 2019. Decision Support System for Agrotechnology Transfer (DSSAT) Version 4.7.5"" (https://DSSAT.net). DSSAT Foundation; Gainesville; Florida; USA.",,,,https://dssat.net/,,,,https://dssat.net/,
MODFLOW,MODFLOW,modflow_2005,"""Modflow is a popular open-source groundwater flow model distributed by the U.S. Geological survey""",,,Hydrology,,https://water.usgs.gov/ogw/modflow/,https://w3id.org/okn/o/sdm#Theory-GuidedModel,usgs,Harbaugh; A. W. (2005). MODFLOW-2005; the US Geological Survey modular ground-water model: the ground-water flow process (pp. 6-A16). Reston; VA: US Department of the Interior; US Geological Survey.,,1983,,MODFLOW_funding,,https://www.usgs.gov/software/modflow-2005-usgs-three-dimensional-finite-difference-ground-water-model,,https://water.usgs.gov/water-resources/software/MODFLOW-2005/readme.txt,water budget estimation; total pumping bugdets,,,,groundwater modeling; steady and nonsteady flow; areal recharge; evapotranspiration; flow to drains; flow through river beds,https://creativecommons.org/publicdomain/zero/1.0/,modflow_logo,,Windows;Unix,,usgs,"""Harbaugh, A. W. (2005). MODFLOW-2005, the US Geological Survey modular ground-water model: the ground-water flow process (pp. 6-A16). Reston, VA: US Department of the Interior, US Geological Survey.""",,,,https://www.usgs.gov/mission-areas/water-resources/science/modflow-and-related-programs,,,,,streamflow_location;total_water_storage;water_table__level_height
WGEN,WGEN,wgen_1.0.1,"""WGEN: A global weather generator for daily data derived from the Global Weather Generator (GWGEN)""",,,Weather,,https://arve-research.github.io/gwgen/,https://w3id.org/okn/o/sdm#EmpiricalModel,somer_philipp;kaplan_jed,Sommer; P. S. and Kaplan; J. O.: A globally calibrated scheme for generating daily meteorology from monthly statistics: Global-WGEN (GWGEN) v1.0; Geosci. Model Dev.; 10; 3771-3791; DOI: 10.5194/gmd-10-3771-2017; 2017,,2017,2017,WGEN_funding,khider_deborah,https://github.com/ARVE-Research/gwgen/releases,,https://arve-research.github.io/gwgen/install.html,,,,,weather generator; climatology; meteorology; global meteorological database; temperature; precipitation; cloud cover; windspeed,,wgen_logo,,Windows;Unix,,,,,,,,,,,https://github.com/ARVE-Research/gwgen,
ClimComp,ClimComp,ClimComp_0.0.2,"""ClimComp is a Python routine for comparing the seasonal prediction with the average climatology""",,,Weather,,https://github.com/KnowledgeCaptureAndDiscovery/ClimComp/blob/master/README.md,https://w3id.org/okn/o/sdm#EmpiricalModel,khider_deborah,,,2018,,ClimComp_funding,khider_deborah,https://github.com/KnowledgeCaptureAndDiscovery/ClimComp,,https://github.com/KnowledgeCaptureAndDiscovery/ClimComp,,,climcomp_source,,seasonal climate;climate; climatology;comparison,,climcomp_logo,,Windows;Unix,,usc,,,,xarray0.11.0;numpy1.15.0;pandas0.23.4;glob2v0.6,https://github.com/KnowledgeCaptureAndDiscovery/ClimComp,,,,https://github.com/KnowledgeCaptureAndDiscovery/ClimComp,atmosphere_water__standardized_precipitation_wetness_index;land_region_water__standardized_precipitation_evapotranspiration_drought_intensity_index
HAND,Height Above Nearest Drainage,HANDv1;HANDv2,"""The Height Above the Nearest Drainage (HAND) is a model that normalizes topography according to the local relative heights found along a given drainage network. Model output shows a high correlation with the depth of the water table in a region and provide an accurate spatial representation of soil water environments. HAND takes as input a Digital Elevation Map of a given region, producing as outputa normalized draining potential (or relative vertical flowpath-distance) to the nearest drainages."" ",,,Hydrology,,http://hydrology.usu.edu/taudem/taudem5/documentation.html,https://w3id.org/okn/o/sdm#EmpiricalModel,taborton_david,,,2010,,HAND_funding,,https://github.com/dtarb/TauDEM,,,Flooding map generation,hand_sample_visualization;hand_travis,,,Relative height;Normalization of topography;Gravitational potential;Draining potential;Flow path;Drainage network,,hand_logo,,Windows;Unix,,utah_university,,,,,,,,hand_explanation2;hand_explanation,https://www.hydroshare.org/resource/c17a0da1bd1f4489b4e72e0eaf2ae475/,flooding_contour
SWAT,The Soil & Water Assessment Tool (SWAT),swat_1.2.0,"""The Soil & Water Assessment Tool (SWAT) is a small watershed to river basin-scale model used to simulate the quality and quantity of surface and ground water and predict the environmental impact of land use; land management practices and climate change (https://swat.tamu.edu/ 2019)""",,,Hydrology,,https://swat.tamu.edu/docs/,https://w3id.org/okn/o/sdm#Theory-GuidedModel,engel_bernard,Bieger; Katrin; Arnold; Jeffrey G.; Rathjens; Hendrik; White; Michael J.; Bosch; David D.; Allen; Peter M.; Volk; Martin; and Srinivasan; Raghavan; 2017. Introduction to SWAT+; a Completely Restructured Version of the Soil and Water Assessment Tool. Journal of the American Water Resources Association (JAWRA) 53( 1): 115-130.,,1993,,SWAT_funding,,https://plus.swat.tamu.edu/downloads/swatplustools-installer-1.2.0.zip,,https://swatplus.gitbook.io/docs/installation,,,swat_source,,Soil; watershed;surface water; ground water;environmental impacts; land use; land management; climate change;soil erosion; source pollution,,swat_logo,,Windows;Unix,,texas_university,"Arnold Jeffrey G. et al. ""SWAT: Model use; calibration and validation."" Transactions of the ASABE 55.4 (2012): 1491-1508.",,SWAT is a river basin scale model developed to quantify the impact of land management practices in large and complex watersheds.,QGIS 3,https://swat.tamu.edu/,,,,https://en.wikipedia.org/wiki/MODFLOW;https://www.usgs.gov/mission-areas/water-resources/science/modflow-and-related-programs,
