https://w3id.org/okn/o/sdm#ModelConfiguration,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasExample,https://w3id.org/okn/o/sd#hasUsageNotes,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasInput,https://w3id.org/okn/o/sd#hasOutput,https://w3id.org/okn/o/sd#hasParameter,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasOutputTimeInterval,https://w3id.org/okn/o/sdm#hasCausalDiagram,https://w3id.org/okn/o/sdm#hasProcess,https://w3id.org/okn/o/sd#hasSoftwareImage,https://w3id.org/okn/o/sd#hasImplementationScriptLocation,https://w3id.org/okn/o/sd#hasSupportScriptLocation,https://w3id.org/okn/o/sd#hasComponentLocation,https://w3id.org/okn/o/sd#hasConstraint,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#datePublished,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasTypicalDataSource,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#memoryRequirements,https://w3id.org/okn/o/sd#operatingSystems,https://w3id.org/okn/o/sd#processorRequirements,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#screenshot,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#softwareRequirements,https://w3id.org/okn/o/sdm#hasEquation,https://w3id.org/okn/o/sd#adjustableParameter,https://w3id.org/okn/o/sdm#calibrationMethod,https://w3id.org/okn/o/sdm#calibrationTargetVariable,https://w3id.org/okn/o/sdm#hasCalibration,https://w3id.org/okn/o/sd#hasSetup,https://w3id.org/okn/o/sdm#hasExpertTunedModel,https://w3id.org/okn/o/sdm#hasModelResultTable,https://w3id.org/okn/o/sdm#hasRegion,https://w3id.org/okn/o/sdm#parameterAssignmentMethod,https://w3id.org/okn/o/sd#compatibleVisualizationSoftware,https://w3id.org/okn/o/sd#hasSampleExecution,https://w3id.org/okn/o/sd#hasSampleResult,https://w3id.org/okn/o/sd#hadPrimarySource,https://w3id.org/okn/o/sdm#usefulForCalculatingIndex
economic-v2,Basic configuration of the economic aggregate crop supply model (v2),Aggregate crop supply response model for the country of South Sudan (version 2),,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v2_calib;econ_v2_sim;econ_v2_data;econ_v2_yield;econ_v2_subsidies,econ_v2_land_use,,,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,crop_yield_elasticity_process;crop_prices_process;fertilizer_prices_process;land_use_process;fertilizer_use_process;crop_supply_process,mintproject/economic:v2,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v2/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v2/economic-v2.zip,,,,,,,,,source_econ_config_v2,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,,,,,,,,,,,,
economic-v5,Basic configuration of the economic aggregate crop supply model (v5),Aggregate crop supply response model for the country of South Sudan (version 5),,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v5_cycles_data;econ_v5_land;econ_v5_price;econ_v5_production_cost;econ_v5_supply_elasticity,econ_v5_land_use,econ_v5_crop_price_adjustment;econ_v5_land_cost_adjustment;econ_v5_cost_adjustment,,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v5/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v5/economic-v5.zip,,,,,,,,,source_econ_config_v5,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,,,economic-v5_simple_pongo;economic-v5_advanced_pongo,,,,,,,,,
economic-v5_simple_pongo,Basic configuration of the economic model calibrated for South Sudan (v5)  exposing no parameters,Aggregate crop supply response model calibrated for the Pongo region of South Sudan (version 5). This calibrated model exposes no adjustable parameters.,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v5_cycles_data_fixed;econ_v5_land_fixed;econ_v5_price_fixed;econ_v5_production_cost_fixed;econ_v5_supply_elasticity_fixed,econ_v5_land_use,econ_v5_crop_price_adjustment_fixed;econ_v5_land_cost_adjustment_fixed;econ_v5_cost_adjustment_fixed,,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v5/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v5/economic-v5.zip,,,,,,,,,source_econ_config_v5,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,econ_land_area;econ_Nfert,,,,,Pongo_Basin_SS,Calibration,,,,,
economic-v5_advanced_pongo,Advanced configuration of the economic model calibrated for South Sudan (v5) exposing 3 parameters,Aggregate crop supply response model calibrated for the Pongo region of South Sudan (version 5). This calibrated model exposes 3 adjustable parameters,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v5_cycles_data_fixed;econ_v5_land_fixed;econ_v5_price_fixed;econ_v5_production_cost_fixed;econ_v5_supply_elasticity_fixed,econ_v5_land_use,econ_v5_crop_price_adjustment;econ_v5_land_cost_adjustment;econ_v5_cost_adjustment,,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v5/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v5/economic-v5.zip,,,,,,,,,source_econ_config_v5,,economy; land use; crop production; fertilizer costs,,,,,,,,,econ_v5_crop_price_adjustment;econ_v5_land_cost_adjustment;econ_v5_cost_adjustment,,econ_land_area;econ_Nfert,,,,,Pongo_Basin_SS,Calibration,,,,,
economic-v6,Basic configuration of the economic model  (v6),Aggregate crop supply response model for the country of South Sudan (version 6),,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v6_cycles_data;econ_v6_land;econ_v6_price;econ_v6_production_cost,econ_v6_land_use;econ_v6_calib_land_use,econ_v6_cassava_crop_price_adjustment;econ_v6_cassava_land_cost_adjustment;econ_v6_cassava_fertilizer_cost_adjustment;econ_v6_groundnuts_crop_price_adjustment;econ_v6_groundnuts_land_cost_adjustment;econ_v6_groundnuts_fertilizer_cost_adjustment;econ_v6_maize_crop_price_adjustment;econ_v6_maize_land_cost_adjustment;econ_v6_maize_fertilizer_cost_adjustment;econ_v6_sesame_crop_price_adjustment;econ_v6_sesame_land_cost_adjustment;econ_v6_sesame_fertilizer_cost_adjustment;econ_v6_sorghum_crop_price_adjustment;econ_v6_sorghum_land_cost_adjustment;econ_v6_sorghum_fertilizer_cost_adjustment,The model assumes that only one parameter will be changed at the same time,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/src/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/economic-v6.zip,,,,,,,,https://viz.mint.isi.edu/bokeh/econ_viz_live,source_econ_config_v6,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,,,economic-v6_simple_pongo;economic-v6_advanced_pongo,,,,,,,,,
economic-v6_simple_pongo,Basic configuration of the economic model calibrated for South Sudan (v6) exposing no parameters,Aggregate crop supply response model calibrated for the Pongo region of South Sudan (version 6). This calibrated model exposes no adjustable parameters.,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v6_cycles_data_fixed;econ_v6_land_fixed;econ_v6_price_fixed;econ_v6_production_cost_fixed,econ_v6_land_use;econ_v6_calib_land_use,econ_v6_cassava_crop_price_adjustment_fixed;econ_v6_cassava_land_cost_adjustment_fixed;econ_v6_cassava_fertilizer_cost_adjustment_fixed;econ_v6_groundnuts_crop_price_adjustment_fixed;econ_v6_groundnuts_land_cost_adjustment_fixed;econ_v6_groundnuts_fertilizer_cost_adjustment_fixed;econ_v6_maize_crop_price_adjustment_fixed;econ_v6_maize_land_cost_adjustment_fixed;econ_v6_maize_fertilizer_cost_adjustment_fixed;econ_v6_sesame_crop_price_adjustment_fixed;econ_v6_sesame_land_cost_adjustment_fixed;econ_v6_sesame_fertilizer_cost_adjustment_fixed;econ_v6_sorghum_crop_price_adjustment_fixed;econ_v6_sorghum_land_cost_adjustment_fixed;econ_v6_sorghum_fertilizer_cost_adjustment_fixed,,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/src/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/economic-v6.zip,,,,,,,,,source_econ_config_v6,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,econ_land_area;econ_Nfert,,,,,Pongo_Basin_SS,Calibration,,,,,
economic-v6_advanced_pongo,Advanced configuration of the economic model calibrated for South Sudan (v6) and exposing 15 parameters-3 per crop ,Aggregate crop supply response model calibrated for the Pongo region of South Sudan (version 6). This calibrated model exposes 15 adjustable parameters: 3 parameters per crop,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v6_cycles_data_fixed;econ_v6_land_fixed;econ_v6_price_fixed;econ_v6_production_cost_fixed,econ_v6_land_use;econ_v6_calib_land_use,econ_v6_cassava_crop_price_adjustment;econ_v6_cassava_land_cost_adjustment;econ_v6_cassava_fertilizer_cost_adjustment;econ_v6_groundnuts_crop_price_adjustment;econ_v6_groundnuts_land_cost_adjustment;econ_v6_groundnuts_fertilizer_cost_adjustment;econ_v6_maize_crop_price_adjustment;econ_v6_maize_land_cost_adjustment;econ_v6_maize_fertilizer_cost_adjustment;econ_v6_sesame_crop_price_adjustment;econ_v6_sesame_land_cost_adjustment;econ_v6_sesame_fertilizer_cost_adjustment;econ_v6_sorghum_crop_price_adjustment;econ_v6_sorghum_land_cost_adjustment;econ_v6_sorghum_fertilizer_cost_adjustment,The model assumes that only one parameter will be changed at the same time,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/src/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6/economic-v6.zip,,,,,,,,,source_econ_config_v6,,economy; land use; crop production; fertilizer costs,,,,,,,,,econ_v6_cassava_crop_price_adjustment;econ_v6_cassava_land_cost_adjustment;econ_v6_cassava_fertilizer_cost_adjustment;econ_v6_groundnuts_crop_price_adjustment;econ_v6_groundnuts_land_cost_adjustment;econ_v6_groundnuts_fertilizer_cost_adjustment;econ_v6_maize_crop_price_adjustment;econ_v6_maize_land_cost_adjustment;econ_v6_maize_fertilizer_cost_adjustment;econ_v6_sesame_crop_price_adjustment;econ_v6_sesame_land_cost_adjustment;econ_v6_sesame_fertilizer_cost_adjustment;econ_v6_sorghum_crop_price_adjustment;econ_v6_sorghum_land_cost_adjustment;econ_v6_sorghum_fertilizer_cost_adjustment,,econ_land_area;econ_Nfert,,,,,Pongo_Basin_SS,Calibration,,,,,
economic-v6.1-calib,Configuration of the economic model (v6.1) exposing calibration results ,Aggregate crop supply response model (v6.1). This configuration of the model is prepared to calibrate the model,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v6.1_cycles_data_fixed;econ_v6.1_land;econ_v6.1_price;econ_v6.1_production_cost,econ_v6.1_land_use;econ_v6.1_calib_land_use,econ_v6_cassava_crop_price_adjustment;econ_v6_cassava_land_cost_adjustment;econ_v6_cassava_fertilizer_cost_adjustment;econ_v6_groundnuts_crop_price_adjustment;econ_v6_groundnuts_land_cost_adjustment;econ_v6_groundnuts_fertilizer_cost_adjustment;econ_v6_maize_crop_price_adjustment;econ_v6_maize_land_cost_adjustment;econ_v6_maize_fertilizer_cost_adjustment;econ_v6_sesame_crop_price_adjustment;econ_v6_sesame_land_cost_adjustment;econ_v6_sesame_fertilizer_cost_adjustment;econ_v6_sorghum_crop_price_adjustment;econ_v6_sorghum_land_cost_adjustment;econ_v6_sorghum_fertilizer_cost_adjustment,The model assumes that only one parameter will be changed at the same time,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/src/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/economic-v6.1.zip,,,,,,,,https://viz.mint.isi.edu/bokeh/econ_viz_live,source_econ_config_v6.1,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,,,,,,,,,,,,
economic-v6.1,Basic configuration of the economic model  (v6.1),Aggregate crop supply response model for the country of South Sudan (version 6.1),,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v6.1_cycles_data;econ_v6.1_land;econ_v6.1_price;econ_v6.1_production_cost,econ_v6.1_land_use;econ_v6.1_calib_land_use,econ_v6_cassava_crop_price_adjustment;econ_v6_cassava_land_cost_adjustment;econ_v6_cassava_fertilizer_cost_adjustment;econ_v6_groundnuts_crop_price_adjustment;econ_v6_groundnuts_land_cost_adjustment;econ_v6_groundnuts_fertilizer_cost_adjustment;econ_v6_maize_crop_price_adjustment;econ_v6_maize_land_cost_adjustment;econ_v6_maize_fertilizer_cost_adjustment;econ_v6_sesame_crop_price_adjustment;econ_v6_sesame_land_cost_adjustment;econ_v6_sesame_fertilizer_cost_adjustment;econ_v6_sorghum_crop_price_adjustment;econ_v6_sorghum_land_cost_adjustment;econ_v6_sorghum_fertilizer_cost_adjustment,The model assumes that only one parameter will be changed at the same time,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/src/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/economic-v6.1.zip,,,,,,,,https://viz.mint.isi.edu/bokeh/econ_viz_live,source_econ_config_v6.1,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,,,economic-v6.1_simple_pongo;economic-v6.1_advanced_pongo,,,,,,,,,
economic-v6.1_simple_pongo,Basic configuration of the economic model (v6.1) for the Pongo region of South Sudan exposing no parameters ,Aggregate crop supply response model calibrated for the Pongo region of South Sudan (version 6.1). This model exposes no adjustable parameters.,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,Economy,econ_v6.1_cycles_data_fixed;econ_v6.1_land_fixed;econ_v6.1_price_fixed;econ_v6.1_production_cost_fixed,econ_v6.1_land_use;econ_v6.1_calib_land_use,econ_v6_cassava_crop_price_adjustment_fixed;econ_v6_cassava_land_cost_adjustment_fixed;econ_v6_cassava_fertilizer_cost_adjustment_fixed;econ_v6_groundnuts_crop_price_adjustment_fixed;econ_v6_groundnuts_land_cost_adjustment_fixed;econ_v6_groundnuts_fertilizer_cost_adjustment_fixed;econ_v6_maize_crop_price_adjustment_fixed;econ_v6_maize_land_cost_adjustment_fixed;econ_v6_maize_fertilizer_cost_adjustment_fixed;econ_v6_sesame_crop_price_adjustment_fixed;econ_v6_sesame_land_cost_adjustment_fixed;econ_v6_sesame_fertilizer_cost_adjustment_fixed;econ_v6_sorghum_crop_price_adjustment_fixed;econ_v6_sorghum_land_cost_adjustment_fixed;econ_v6_sorghum_fertilizer_cost_adjustment_fixed,,econ_grid,economic_aggregate_crop_supply_TI,economic_aggregate_crop_supply_CAG_process;economic_aggregate_crop_supply_CAG_variables,constr_max_net_revenue_process,mintproject/economic:v5,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/src/run,,https://github.com/mintproject/MINT-WorkflowDomain/raw/master/WINGSWorkflowComponents/economic-v6.1/economic-v6.1.zip,,,,,,,,,source_econ_config_v6.1,,economy; land use; crop production; fertilizer costs,,,,,,,,,,,econ_land_area;econ_Nfert,,,,,Pongo_Basin_SS,Calibration,,,,,
