https://w3id.org/okn/o/sd#SoftwareVersion,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#hasVersionId,https://w3id.org/okn/o/sdm#hasModelCategory,https://w3id.org/okn/o/sd#hasConfiguration,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasExample,https://w3id.org/okn/o/sd#hasUsageNotes,http://www.w3.org/1999/02/22-rdf-syntax-ns#type,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sd#hasDocumentation,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#datePublished,https://w3id.org/okn/o/sd#hasFunding,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasFAQ,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasTypicalDataSource,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#license,https://w3id.org/okn/o/sd#logo,https://w3id.org/okn/o/sd#memoryRequirements,https://w3id.org/okn/o/sd#operatingSystems,https://w3id.org/okn/o/sd#processorRequirements,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#referencePublication,https://w3id.org/okn/o/sd#screenshot,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#softwareRequirements,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasEquation,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasExplanationDiagram,https://w3id.org/okn/o/sdm#hasExplanationDiagram,https://w3id.org/okn/o/sd#hadPrimarySource
pihm_2.2,PIHM v2.2,2.2,Hydrology,pihm-v2,Release 2.2 of the PIHM model,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,kumar_mesh,,,,,pihm_2.2_funding,duffy_christopher,,,,,,pihm_sourceCode,,channel routing; surface overland flow; subsurface flow; interception; snow melt; evapotranspiration; semi-discrete approach,,,,,,penn_state,,,,,,,pihm_grid_general,,,
pihm_v4,PIHM V4,4,Hydrology,pihm-v4;pihm-v4.1.0,Version of PIHM adapted to C++ and including PIHM GIS transformations. All inputs and output have been modified to facilitate using standard formats,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,https://github.com/shulele/PIHM_Tech/blob/master/PIHM_Tech.pdf,shu_lele,,,6/25/2019,,pihm_v4_funding,shu_lele,,,https://github.com/shulele/PIHM-4.0/blob/master/README.md,,,pihm_sourceCode_v4,,channel routing; surface overland flow; subsurface flow; interception; snow melt; evapotranspiration; semi-discrete approach,,,,,,penn_state,,,,,,,pihm_grid_general,,,
cycles_v0.9.3_alpha,Cycles v0.9.3 alpha,0.9.3,Agriculture,cycles;cycles_multiple_points,,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,kemanian_armen;shi_yuning,,,,,cycles_v0.9.3_alpha_funding,,,,,,,,,agriculture; cycles; crop growth; weather;soil;crop management,,,,,,,,,,,,,,,,
cycles_v0.9.4_alpha,Cycles v0.94_alpha,0.9.4-alpha,Agriculture,cycles-0.9.4-alpha,Version 0.9.4 of Cycles allowing exposing multiple parameters,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,kemanian_armen;shi_yuning,,,,,cycles_v0.9.4_alpha_funding,,,,,,,,,agriculture; cycles; crop growth; weather;soil;crop management,,,,,,,,,,,,,,,,
kimetrica_0.0,Kimetrica lv0.o0,0,Land Use,kimetrica_land_use_cfg_simple,,,,,,,,,,,,kimetrica_0.0_funding,,,,,,,,,,,,,,,,,,,,,,,,,
EACS_2.0,EACS 2.0,2,Economy,economic-v2,Initial version of the model prepared as a component for a workflow,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,cobourn_kelly,,,,,EACS_2.0_funding,,,,,,,,,economy; land use; crop production; fertilizer costs,,,,,,virginia_tech,,,,,,,,,,
EACS_6.0,EACS 6.0,6,Economy,economic-v6,Version of the model exposing fertilizer increments,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,cobourn_kelly;zhang_zeya,,,6/24/2019,,EACS_6.0_funding,,,,,,,,,economy; land use; crop production; fertilizer costs,,,,,,virginia_tech,,,,,,,,,,
EACS_6.1,EACS 6.1,6.1,Economy,economic-v6.1;economic-v6.1_single_crop;economicGambella-v6.1,Version of the model exposing increments for crops and calibration outputs ,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,cobourn_kelly;zhang_zeya,,,6/24/2019,,EACS_6.1_funding,,,,,,,,,economy; land use; crop production; fertilizer costs,,,,,,virginia_tech,,,,,,,,,,
topoflow_3.5,Topoflow v3.5,3.5,Hydrology,topoflow_cfg_simple,,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,peckham_scott,,,,,topoflow_3.5_funding,,,,,,,topoflow_sourceCode_v3.6,,snowmelt;precipitation;evapotranspiration;infiltration;channel/overland flow;shallow subsurface flow;flow diversions,,,,,,,,,,,,,,,,
DSSAT_4.7,DSSAT v4.7,4.7,Agriculture,DSSAT_cfg_simple,,,,https://w3id.org/okn/o/sdm#Theory-GuidedModel,,,,,,,,DSSAT_4.7_funding,,,,,,,,,,,,,,,,,,,,,,,,,
