https://w3id.org/okn/o/sd#SoftwareVersion,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#hasVersionId,https://w3id.org/okn/o/sd#hasConfiguration,https://w3id.org/okn/o/sd#description,https://w3id.org/okn/o/sd#hasAssumption,https://w3id.org/okn/o/sd#hasDocumentation,https://w3id.org/okn/o/sd#author,https://w3id.org/okn/o/sd#citation,https://w3id.org/okn/o/sd#contributor,https://w3id.org/okn/o/sd#dateCreated,https://w3id.org/okn/o/sd#datePublished,https://w3id.org/okn/o/sd#fundingSource,https://w3id.org/okn/o/sd#hasContactPerson,https://w3id.org/okn/o/sd#hasDownloadURL,https://w3id.org/okn/o/sd#hasFAQ,https://w3id.org/okn/o/sd#hasInstallationInstructions,https://w3id.org/okn/o/sd#hasPurpose,https://w3id.org/okn/o/sd#hasSampleVisualization,https://w3id.org/okn/o/sd#hasSourceCode,https://w3id.org/okn/o/sd#hasTypicalDataSource,https://w3id.org/okn/o/sd#keywords,https://w3id.org/okn/o/sd#logo,https://w3id.org/okn/o/sd#memoryRequirements,https://w3id.org/okn/o/sd#operatingSystems,https://w3id.org/okn/o/sd#processorRequirements,https://w3id.org/okn/o/sd#publisher,https://w3id.org/okn/o/sd#referencePublication,https://w3id.org/okn/o/sd#screenshot,https://w3id.org/okn/o/sd#shortDescription,https://w3id.org/okn/o/sd#softwareRequirements,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sdm#hasEquation,https://w3id.org/okn/o/sdm#hasGrid,https://w3id.org/okn/o/sdm#hasExplanationDiagram,https://w3id.org/okn/o/sdm#hasExplanationDiagram,http://www.w3.org/ns/prov#hadPrimarySource
pihm_2.2,PIHM v2.2,2.2,pihm-v2,Release 2.2 of the PIHM model,,,kumar_mesh,,,,,nsf,duffy_christopher,,,,,,pihm_sourceCode,,,,,,,penn_state,,,,,,,pihm_grid_general,,,
pihm_v4,PIHM V4,4,pihm-v4,Version of PIHM adapted to C++ and including PIHM GIS transformations. All inputs and output have been modified to facilitate using standard formats,,https://github.com/shulele/PIHM-4.0/blob/master/README.md,shu_lele,,,6/25/2019,,darpa,shu_lele,,,,,,pihm_sourceCode_v4,,,,,,,penn_state,,,,,,,pihm_grid_general,,,
cycles_0.8.0_alpha,Cycles v0.8.0 alpha,0.8.0,cycles;cycles_multiple_points,,,,kemanian_armen;shi_yuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cycles_v0.94_alpha,Cycles v0.94_alpha,0.9.4,cycles-v2;cycles-v2-simple-pongo;cycles-v2-advanced-pongo;cycles-baseline-v2;cycles-fertilizer-increase-v2,,,,kemanian_armen;shi_yuning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
kimetrica_0.0,Kimetrica lv0.o0,0,kimetrica_land_use_cfg_simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EACS_2.0,EACS 2.0,2,economic-v2,Initial version of the model prepared as a component for a workflow,,,cobourn_kelly,,,,,darpa,,,,,,,,,,,,,,virginia_tech,,,,,,,,,,
EACS_5.0,EACS 5.0,5,economic-v5,Version of the model regrouping variables according to their source,,,cobourn_kelly;zhang_zeya,,,6/24/2019,,darpa,,,,,,,,,,,,,,virginia_tech,,,,,,,,,,
EACS_6.0,EACS 6.0,6,economic-v6,,,,cobourn_kelly;zhang_zeya,,,,,darpa,,,,,,,,,,,,,,virginia_tech,,,,,,,,,,
topoflow_3.5,Topoflow v3.5,3.5,topoflow_cfg_simple,,,,peckham_scott,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSSAT_4.7,DSSAT v4.7,4.7,DSSAT_cfg_simple,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
