https://w3id.org/okn/o/sd#Person,http://www.w3.org/2000/01/rdf-schema#label,https://w3id.org/okn/o/sd#name,https://w3id.org/okn/o/sd#email,https://w3id.org/okn/o/sd#website,https://w3id.org/okn/o/sd#identifier
duffy_christopher,Christopher Duffy,Christopher Duffy,,,
shu_lele,Lele Shu,Lele Shu,,,
cobourn_kelly,Kelly Cobourn,Kelly Cobourn,,,
kemanian_armen,Armen Kemanian,Armen Kemanian,,,
peckham_scott,Scott Peckham,Scott Peckham,,,
kumar_mesh,Mesh Kumar,Mesh Kumar,,,
khider_deborah,Deborah Khider,Deborah Khider,,,
zhang_zeya,Zeya Zhang,Zeya Zhang,,,
taborton_david,David Taborton,David Taborton,,,
modflow_team,USGS Modflow team,USGS Modflow team,modflow@usgs.gov,https://www.usgs.gov/staff-profiles/usgs-modflow-team?qt-staff_profile_science_products=0#qt-staff_profile_science_products,
shi_yuning,Yuning Shi,Yuning Shi,,,
mayani_rajiv,Rajiv Mayani,Rajiv Mayani,,,
silva_rafael,Rafael Silva,Rafael Silva,,,
Harbaugh_Arlen,Arlen W. Harbaugh,Arlen W. Harbaugh,,,
porter_cheryl,Cheryl Porter,Cheryl Porter,,,
white_jeff,Jeff White,Jeff White,,,
shelia_vakhtang,Vakhtang Shelia,Vakhtang Shelia,,,
boote_ken,Ken Boote,Ken Boote,,,
singh_upendra,Upendra Singh,Upendra Singh,,,
hoogenboom_gerrit,Gerrit Hoogenboom,Gerrit Hoogenboom,,,
garijo_daniel,Daniel Garijo,Daniel Garijo,,,
hardesty_daniel,Daniel Hardesty-Lewis,Daniel Hardesty-Lewis,,,
osorio_maximiliano,Maximiliano Osorio,Maximiliano Osorio,,,
