http://ontosoft.org/software#SoftwareVersion,http://www.w3.org/2000/01/rdf-schema#label,http://ontosoft.org/software#hasVersionId,https://w3id.org/mint/modelCatalog#hasConfiguration
ldas2pihm_v1,LDAS to Pihm Version 1,1,fldas_to_pihm
pihm2cyclesReinit_v1,PIHM to Cycles Version 1,1,pihm_to_cycles_reinit
pihm_forcing_to_cycles_weather_v1,FORCING to Cycles version 1,1,pihm_forcing_to_cycles_weather
pihm_to_cycles_soil_v1,PIHM to Cycles Version 1,1,pihm_to_cycles_soil
pihm_cropland_v1,PIHM Cropland creation script Version 1,1,pihm_cropland
pihm_flooding_v1,PIHM Flooding creation script Version 1,1,pihm_flooding
fldas_to_pihm_v1,FLDAS to PIHM transformation,1,fldas_to_pihm
ldasdd_v1,LDAS data download Version 1,1,ldas_data_find
cycles2econ_v1,CYCLES to Econ Version 1,1,cycles_to_crop
economic_to_vis_v1,ECONOMIC To_Vis creation script Version ,1,economic_to_vis
pihm_cropland_to_points_v1,cropland to points,1,pihm_cropland_to_points
pihm_flooding_netcdf_v1,flooding to netcdf,1,pihm_flooding_netcdf
FLDAS2WGEN_v1,FLDAS to WGEN Version 1,1,FLDAS2WGEN_cfg
WGEN2FLDAS_v1,WGEN to FLDAS-like Version 1,1,WGEN2FLDAS_cfg
PIHM_to_netcdfv1,PIHM to NetCDF version 1,1,pihm_to_netcdf
CyclesOutputsV1,Cycles to NetCDF,1,cycles_outputs
,,,
RiverDepthEstimation_V1,River Depth Estimation,1,river_depth_estimation
RiverDepthEstimationPreprocessing_V1,River Depth Estimation Preprocessing,1,river_depth_preprocessing
