File,Short Name,Long Name,Units,GSN,Description,Default Value,Minimum Accepted Value,Maximum Accepted Value
Control Input File,SIMULATION_END_YEAR,,YYYY,,The year to end the simulation. All simulations run to December 31 of the given year. There must be records in the weather file through December 31 of this year.,,,
Control Input File,SIMULATION_START_YEAR,,YYYY,,The year to start the simulation. All simulations start on January 1 of the given year. There must be records in the weather file starting from January 1 of this year.,,,
Crop Input File,ANNUAL,,,crop__annual-vs-perennial_boolean_indicator,Whether the crop is annual (value = 1) or perennial (value = 0).,,,
Crop Input File,C3,,,crop_pathway~photosynthetic__c3-vs-v4_boolean_indicator,Whether the crop has a C3 photosynthetic pathway (value = 1) or a C4 pathway (value = 0).,,,
Crop Input File,CLIPPING_BIOMASS_THRESHOLD_LOWER,,Mg/ha,event~clipping_ground~above_plant_biomass__unharvestable_mass-per-area_density,"The aboveground plant biomass threshold (in Mg/ha), which remains un-harvestable during clipping events. This value represents the mass of living plant biomass that would remain in the field after a clipping event with a RESIDUE_REMOVED value of 100.",,,
Crop Input File,CLIPPING_BIOMASS_THRESHOLD_UPPER,,Mg/ha,ground~above_plant_biomass__clipping-or-forest-harvest-event-triggering_mass-per-area_density,The aboveground plant biomass threshold (in Mg/ha) that will trigger a clipping event or forage harvest.,,,
Crop Input File,FLOWERING_TT,,growing deg C day,crop__flowering_growing_degree-day_duration,"The thermal time to flowering, in growing degree C days, calculated using the base, optimum, and maximum temperatures for development listed in BASE_TEMPERATURE_FOR_DEVELOPMENT, OPTIMUM_TEMPERATURE_FOR_DEVELOPEMENT, and MAX_TEMPERATURE_FOR_DEVELOPMENT.",,,
Crop Input File,HARVEST_INDEX,,,crop__harvest_index_coefficient,"A coefficient (Hk), used in the calculation of actual harvest index. The actual harvest index is calculated based on the proportion of aboveground crop biomass growth occurring post-anthesis relative to total aboveground growth over the entire duration of crop development (fG)",,,
Crop Input File,HARVEST_TIMING,,%,crop__clipping-or-forest-harvest-event-triggering_maturity_time_fraction,"The percent of thermal time to crop maturity that will trigger a clipping event or grain harvest. As an example, if HARVEST_TIMING is set to 90, and the MATURITY_TT is 1000, the crop will be clipped when the cumulative thermal time of crop development reaches 900 growing degree days. If the harvest timing is less than 100, the crop will be clipped as a forage and will continue to regrow. If the harvest timing is greater than 100, the crop will have reached physiological maturity and will be harvested as a grain crop and killed after harvested. A value of -999 can be entered to trigger a default value of 101, which will result in the crop being harvested for grain on the first day after it reaches physiological maturity.",,,
Crop Input File,KC,,,crop__transpiration_coefficient,"The crop transpiration coefficient, used to convert reference evapotranspiration based on environmental conditions into crop transpiration.",,,
Crop Input File,LEGUME,,,crop__legume-vs-non-legume_boolean_indicator,Whether the crop is a legume (value = 1) or a non-legume (value = 0).,,,
Crop Input File,LWP_STRESS_ONSET,,J/kg,leaf_water__stomatal-closure_stress-onset_potential,"The leaf water potential (J/kg) threshold for the onset of stress, below which stomatal closure begins, reducing transpiration rates.",,,
Crop Input File,LWP_WILTING_POINT,,J/kg,leaf_water__transpiration-stopping_wilting-point_potential,"The leaf water potential (j/kg) at wilting point, where transpiration stops.",,,
Crop Input File,MATURITY_TT,,growing deg C day,crop__maturity_growing_degree-day_duration,The thermal time to maturity in growing degree C days.,,,
Crop Input File,MAXIMUM_HARVEST_INDEX,,,crop__max_of_harvest_index,"The maximum harvest index possible (Hx), used in the calculation of actual harvest index described below. It is an asymptotic value that can be much higher than the actual maximum HI observed (e.g. 0.8 for corn). Use default values if needed.",,,
Crop Input File,MAXIMUM_ROOTING_DEPTH,,m ,crop_root__maximum_of_rooting_depth,The maximum depth to which crop roots can grow in meters.,,,
Crop Input File,MAXIMUM_SOIL_COVERAGE,,%,land_crop__coverage_area_fraction,"The maximum crop cover in % is a proxy for light interception potential given by row spacing and other features. This value can be set to less than 100% if the crop canopy does not have the potential to provide full cover, or if the crop is planted with a row spacing such that there will be bare ground present between crop rows (e.g., horticultural production or dry areas).",,,
Crop Input File,MIN_TEMPERATURE_FOR_COLD_DAMAGE,,deg C,crop__min_of_cold-damage-factor_reference_temperature,"The minimum temperature (degree C) used in the calculation of the cold damage factor described below. If the daily minimum temperature is below this value, the cold damage factor is set to 0.99.",,,
Crop Input File,MIN_TEMPERATURE_FOR_COLD_DAMAGE,,deg C,crop__min_of_cold-damage-factor_reference_temperature,"The minimum temperature (degree C) used in the calculation of the cold damage factor described below. If the daily minimum temperature is below this value, the cold damage factor is set to 0.99.",,,
Crop Input File,MIN_TEMPERATURE_FOR_TRANSPIRATION,,deg C,crop_air__transpiration_threshold_temperature,"The air temperature (daily average, degree C) below which transpiration by the plant virtually ceases (transpiration is 1% of potential transpiration). This value can constrain crop growth at low temperatures because crop growth is calculated as the minimum of Transpiration Use Efficiency * Transpiration or Radiation Use Efficiency * Radiation Interception. Therefore, if transpiration does not occur, plant biomass accrual does not occur.",,,
