File,Short Name,Long Name,Units,GSN,Description,Default Value,Minimum Accepted Value,Maximum Accepted Value
annualSoilProfileC Output,C DIFF,,Mg C/year,soil_carbon-pool~stabilized__one-year_change_of_mass,The change in the stabilized soil C pool size between the beginning and end of the year.,,,
annualSoilProfileC Output,FINAL C,,Mg C/year,soil_carbon-pool~stabilized__year-end_mass,The pool size of stabilized soil C at the end of the year.,,,
annualSoilProfileC Output,HUMIFIED C,,Mg C/year,soil_carbon-pool~microbial-and-stabilized__,Quantity of decomposed C added to microbial and stabilized C pools.,,,
annualSoilProfileC Output,INIT C MASS,,Mg C/year,soil_carbon-pool~stabilized__year-start_mass,The pool size of stabilized soil C at the beginning of the year.,,,
annualSoilProfileC Output,RES BIOMASS IN,,Mg/ha,soil_residue_pool_ground~above_crop_residue_biomass__added_mass-per-area_density,Aboveground crop residue biomass added to the residue pool during the year.,,,
annualSoilProfileC Output,RES C DECOMP,,Mg/ha,ground~above_crop_residue_pool_carbon__decomposed_mass-per-area_density,"Quantity of C from the aboveground crop residue pool decomposed during the year. (Layer 1 includes decomposed surface residues, standing and flattened)",,,
annualSoilProfileC Output,RESPIRED C,,Mg C/year,decomposition_mass_respiration_rate,Quantity of C respired from the decomposition of microbial biomass and stabilized soil C.,,,
annualSoilProfileC Output,ROOT BIOMASS IN,,Mg/ha,crop_root_pool-and-rhizodeposit_residue_pool_biomass__one-year_time_integral_of_mass-per-area_addition_rate,Crop root and rhizodeposit biomass added to the residue pools during the year.,,,
annualSoilProfileC Output,ROOT C DECOMP,,Mg/ha,crop_root_pool-and-rhizodeposit_residue_pool_carbon__one-year_time_integral_of_mass-per-area_decomposition_rate,Quantity of C from the crop root and rhizodeposit residue pools decomposed during the year.,,,
annualSoilProfileC Output,YEAR,,YYYY,,Year of the simulation.,,,
AnnualSOM Output,BULK DENSITY,,Mg/m3,soil_layer__bulk_mass_density,Bulk density of the soil layer.,,,
AnnualSOM Output,C SAT. RATIO,,Cs/Cx,soil_pool_carbon__stabilized-to-maximum-stabilization_saturation_ratio,"The saturation ratio of the soil layer, defined as the C content (or concentration) of the stabilized soil C pool (Cs) divided by the maximum capacity for C stabilization (Cx).",,,
AnnualSOM Output,SOIL C,,%,soil_layer_carbon__stabilized_mass_fraction,"Carbon concentration of the soil layer, only including the stabilized soil C pool.",,,
AnnualSOM Output,THICKNESS,,m,soil_layer__thickness,Thickness of the soil layer.,,,
AnnualSOM Output,YEAR,,YYYY,,Year of the simulation.,,,
Crop Output,AG BIOMASS,,Mg/ha,crop_biomass~dry~above-ground__mass-per-area_density,Aboveground dry biomass.,,,
Crop Output,AG N,,kg/ha,crop~above-ground_nitrogen__mass-per-area_density,Aboveground biomass N content.,,,
Crop Output,AG N CONCN,,g/kg,crop~above-ground_nitrogen__mass-per-mass_concentration,Aboveground biomass N concentration.,,,
Crop Output,CROP,,-,crop__name_(en),The crop name.,,,
Crop Output,CUM. BIOMASS,,Mg/ha,crop_biomass~above-ground-and-roots__mass-per-area_density,"The cumulative total crop biomass, sum of aboveground and roots.",,,
Crop Output,DATE,,YYYY-MM-DD,,Calendar date in the simulation.,,,
Crop Output,FRAC INTERCEP,,-,crop_canopy_radiation~solar__interception_energy_fraction,The fraction of solar radiation intercepted by the crop canopy.,,,
Crop Output,N ADDED,,kg/ha,crop_biomass_nitrogen__time_integral_of_mass_flux,Cumulative N added to crop biomass to sustain growth in autofertilize mode.,,,
Crop Output,N FIXATION,,kg/ha,crops~legume_nitrogen__fixation_mass-per-area_density,Cumulative N fixation by legume crops.,,,
Crop Output,N STRESS,,%,crop_nitrogen__daily_stress_fraction,Daily N stress value of the crop.,,,
Crop Output,POTENTIAL TR,,mm/day,crop__potential_transpiration_rate,Potential transpiration of the crop.,,,
Crop Output,ROOT BIOMASS,root biomass,Mg/ha,plant_root__mass-per-area_harvest_density,Crop root dry biomass.,,,
Crop Output,ROOT N,,kg/ha,crop_root_nitrogen__mass-per-area_density,Crop root N content.,,,
Crop Output,STAGE,,-,crop__phenological_stage_(en),The phenological stage.,,,
Crop Output,THERMAL TIME,,C-day,crop__from-planting_thermal_duration,The cumulative thermal time since the crop was planted.,,,
Crop Output,TOTAL N,,kg/ha,crop_nitrogen__mass-per-area_density,"The total crop N content, sum of aboveground and roots.",,,
Crop Output,WATER STRESS,,%,crop_water__daily_stress_fraction,Daily water stress value of the crop.,,,
Nitrogen Output,DATE,,YYYY-MM-DD,,Calendar date in the simulation.,,,
Nitrogen Output,IMMOBILIZATION,,kg N/ha,biomass~migrobial-or-soil_pool~stabilized~organic_nitrogen__gross_immobilization_mass-per-area_density,Gross N immobilization in microbial biomass or stabilized soil organic N pools.,,,
Nitrogen Output,MINERALIZATION,,kg N/ha,substrates~organic~decomposing_nitrogen__mineralization_mass-per-area_density,Gross N mineralization from all decomposing organic substrates.,,,
Nitrogen Output,N2O FROM DENIT,,kg N/ha,nitrous-oxide__denitrification_emission_mass-per-area_density,Nitrous oxide emissions from denitrification.,,,
Nitrogen Output,N2O FROM NITRIF,,kg N/ha,nitrous-oxide__nitrification_emission_mass-per-area_density,Nitrous oxide emissions from nitrification.,,,
Nitrogen Output,NET MINERALIZ,,kg N/ha,nitrogen__mineralization_mass-per-area_density,Net N mineralization.,,,
Nitrogen Output,NH4 LEACHING,,kg N/ha,soil_profile_bottom_ammonium_flow~incoming_water~drainage__time_integral_of_leaching_mass_flux,Ammonium leaching in drainage water at the bottom of the soil profile.,,,
Nitrogen Output,NH4 NITRIFICAT,,kg N/ha,ammonium_nitrogen__nitrification_mass-per-area_density,Nitrification of ammonium.,,,
Nitrogen Output,NH4 VOLATILIZ,,kg N/ha,ammonia-as-nitrogen__volatilization_mass-per-area_density,Ammonia volatilization,,,
Nitrogen Output,NO3 DENITRIF,,kg N/ha,nitrate-as-nitrogen__denitrification_mass-per-area_density,Denitrification of nitrate.,,,
Nitrogen Output,NO3 LEACHING,,kg N/ha,soil_profile_bottom_nitrate_flow~incoming_water~drainage__time_integral_of_leaching_mass_flux,Nitrate leaching in drainage water at the bottom of the soil profile.,,,
Nitrogen Output,ORG SOIL N,,kg N/ha,biomass~microbial-and-soil_pool~organic~stabilized_nitrogen__mass-per-area_density,The sum of microbial biomass N and stabilized soil organic N pools.,,,
Nitrogen Output,PROF SOIL NH4,,kg N/ha,soil_profile_ammonium-as-nitrogen__mass-per-area_density,Soil profile ammonium-N content.,,,
Nitrogen Output,PROF SOIL NO3,,kg N/ha,soil_profile_nitrate-as-nitrogen__mass-per-area_density,Soil profile nitrate-N content.,,,
Residue Output,AG RES BIOMASS,,Mg/ha,soil_surface_crop_residue~standing-and-flattened__remaining_mass-per-area_density,The biomass of standing and flattened crop residues remaining on the soil surface.,,,
Residue Output,AG RES N,,kg/ha,soil_surface_crop_residue_biomass~remaining_nitrogen__mass-per-area_density,The N content of standing and flattened crop residues remaining on the soil surface.,,,
Residue Output,BG RES BIOMASS,,Mg/ha,soil_profile_crop_residue_shoots_biomass~remaining__incorporation_mass-per-area_density,The remaining biomass of crop residue shoots that were incorporated into the soil profile.,,,
Residue Output,BG RES N,,kg/ha,soil_crop_residue_shoots~incorporated_nitrogen__mass-per-area_density,The remaining N content of crop residue shoots that were incorporated into the soil profile.,,,
Residue Output,DATE,,YYYY-MM-DD,,Calendar date in the simulation.,,,
Residue Output,FLAT RES MOIST,,kg/kg,soil_surface_crop_residue~flattened_water__mass-per-mass_concentration,Flattened surface residue moisture content defined as: water mass/(water mass+residue dry mass),,,
Residue Output,FRAC INTERCEP,,-,soil_surface_crop~standing-and-flattened_radiation~solar__intercepted_energy_fraction,The fraction of solar radiation intercepted by standing and flattened crop residues on the soil surface.,,,
