File,Short Name,Long Name,Units,GSN,Default Value,Description,Minimum Accepted Value,Maximum Accepted Value,,,,,,,,,,,,,,,,,,
.forc,Height,wind veolcity height,m,land_surface_wind__speed_reference_height,,Height of wind velocity observation,,,,,,,,,,,,,,,,,,,,
.forc,IsFactor,Interception Storage Factor,m,land_vegetation_canopy_water__interception_storage_factor,default 0.0002,Interception Storage Factor. ,,,,,,,,,,,,,,,,,,,,
.forc,LAI,Leaf Ara Index,m2/m2,land_vegetation__leaf-area_index,,Value of LAI (Leaf Area Index),,,,,,,,,,,,,,,,,,,,
.forc,MF,Melt factor,,snow-or-ice__melt_factor,,Value of Melt factor,,,,,,,,,,,,,,,,,,,,
.forc,PRCP,Precipitation,m/day,atmosphere_water__precipitation_leq_volume_flux,,Value of Precipitation,,,,,,,,,,,,,,,,,,,,
.forc,RH,Relative Humidity,percentage / 100,atmosphere_air_water~vapor__relative_saturation,,Value of relative humidity,,,,,,,,,,,,,,,,,,,,
.forc,RL,Roughness length,m,atmosphere_bottom_air_flow__log-law_roughness_length,,surface roughness length scale for wind,,,,,,,,,,,,,,,,,,,,
.forc, ,Ner Radiaiton,MJ/m2/day,land_surface_radiation~net~total__energy_flux,,Value of net radiation,,,,,,,,,,,,,,,,,,,,
.forc,SS,Source/Sink,m3/day,water~incoming-and-outgoing__volume_flow_rate,,Value of Source/Sink,,,,,,,,,,,,,,,,,,,,
.forc,Time,Time,day,,,Time,,,,,,,,,,,,,,,,,,,,
.forc,TRMP,Temperature,C,land_surface_air__temperature,,Value of Temperature,,,,,,,,,,,,,,,,,,,,
.forc,VP,Vapor  pressure,Pa,atmosphere_bottom_air_water~vapor__partial_pressure,,Value of vapor press,,,,,,,,,,,,,,,,,,,,
.forc,WINF,wind speed,m/day,land_surface_wind__speed,,Value of wind speed,,,,,,,,,,,,,,,,,,,,
.geol,Alpha,Van Genuchten Soil Parameter,1/m,soil_water__van-genuchten_alpha_parameter,,Van Genuchten Soil Parameter,,,,,,,,,,,,,,,,,,,,
.geol,Beta,Van Genuchten Soil Parameter,none,soil_water__van-genuchten_beta_parameter,,Van Genuchten Soil Parameter,,,,,,,,,,,,,,,,,,,,
.geol,infD,Thickness of top soild layer,m,soil_layer~top__thickness,,Top soil layer across which infiltration is calculcated,,,,,,,,,,,,,,,,,,,,
.geol,KsatV,Vertical Saturated Hydraulic Conductivity,m/day,soil_water__vertical_saturated_hydraulic_conductivity,,Vertical Saturated Hydraulic Conductivity,,,,,,,,,,,,,,,,,,,,
.geol,macD,Macropore Depth,m,soil_macropores_below-land-surface__depth,,Macropore Depth,,,,,,,,,,,,,,,,,,,,
.geol,macKsatH,Horizontal macropore Hydraulic conductivity,m/day,soil_water__saturated_hydraulic_conductivity,,Horizontal macropore Hydraulic conductivity (saturated hydraulic conductivity?),,,,,,,,,,,,,,,,,,,,
.geol,ThetaR,Residual Porosity,m3/m3,soil__residual_porosity,,Residual Porosity,,,,,,,,,,,,,,,,,,,,
.geol,ThetaS,Porosity,m3/m3,soil__porosity,,Porosity,,,,,,,,,,,,,,,,,,,,
.geol,vAreaF,Vertical Area Fraction of Macropore,m2/m2,soil_macropores_x-section~vertical__area_fraction,,Vertical Area Fraction of Macropore,,,,,,,,,,,,,,,,,,,,
.ibc,Time,Time,day,,,Time,,,,,,,,,,,,,,,,,,,,
.ibc,Value,Value of the Neumann BC,m,,,Value of the Neumann BC,,,,,,,,,,,,,,,,,,,,
.ibc,Value ,Value of the Dirichlet BC,m3/day,,,Value of the Dirichlet BC,,,,,,,,,,,,,,,,,,,,
.lc,Albedo,Albedo,none,land_surface__albedo,,Albedo,,,,,,,,,,,,,,,,,,,,
.lc,LAImax,Maximum Leaf Area Index,m2/m2,land_vegetation__annual_time_max_of_leaf-area_index,,Maximum LAI,,,,,,,,,,,,,,,,,,,,
.lc,n,Manning’s Roughness Coefficient,day/m^(1/3),channel_water_flow__manning_n_parameter,,Manning’s Roughness Coefficient,,,,,,,,,,,,,,,,,,,,
.lc,Rmin,Minimum Stomatal Resistance,day/m,land_vegetation__time_min_of_stomatal_resistance,,Minimum Stomatal Resistance,,,,,,,,,,,,,,,,,,,,
.lc,Rs_ref,Reference Stomatal Resistance,day/m,land_vegetation__reference_stomatal_resistance,,Reference Stomatal Resistance,,,,,,,,,,,,,,,,,,,,
.lc,RzD,Root Zone Depth,m,soil_root-zone__thickness,,Root Zone Depth,,,,,,,,,,,,,,,,,,,,
.lc,VegFrac,Vegetation Fraction,m2/m2,land_vegetation_canopy__area_fraction,,Vegetation Fraction,,,,,,,,,,,,,,,,,,,,
.riv,Bed,Bed Depth,m,channel_bed__thickness,,Bed Depth,,,,,,,,,,,,,,,,,,,,
.riv,Cwr,Discharge Coefficient,?,channel_water__discharge_coefficient,,Discharge Coefficient,,,,,,,,,,,,,,,,,,,,
.riv,Depth,Depth of the SHAPE,m,channel_bed_below-channel-bank__depth,,Depth from top of bank to the river bed.,,,,,,,,,,,,,,,,,,,,
.riv,KsatH,Size Hydraulic Conductivity,m/day,channel_bottom_sediment_grain_water__hydraulic_conductivity,,Size Hydraulic Conductivity,,,,,,,,,,,,,,,,,,,,
.riv,KsatV,Bed Hydraulic Conductivity,m/day,channel_bed_water__hydraulic_conductivity,,Bed Hydraulic Conductivity,,,,,,,,,,,,,,,,,,,,
.riv,n,Manning's Roughness Coefficient,day/m^(1/3),channel_water_flow__manning_n_parameter,,Manning's Roughness Coefficient,,,,,,,,,,,,,,,,,,,,
.riv,Time,Time,day,,,Time,,,,,,,,,,,,,,,,,,,,
.riv,Value,Water table of the IC,m,water_below-land-surface__depth,,Water table of the IC,,,,,,,,,,,,,,,,,,,,
.riv,Value,BC Value,m,,,BC Value,,,,,,,,,,,,,,,,,,,,
.soil,Alpha,Van Genuchten Soil Parameter,1/m,soil_water__van-genuchten_alpha_parameter,,Van Genuchten Soil Parameter,,,,,,,,,,,,,,,,,,,,
.soil,Beta,Van Genuchten Soil Parameter,-,soil_water__van-genuchten_beta_parameter,,Van Genuchten Soil Parameter,,,,,,,,,,,,,,,,,,,,
.soil,hAreaF,Horizontal Area Fraction of Macropore,m2/m2,soil_macropores_x-section~vertical__area_fraction,,Horizontal Area Fraction of Macropore,,,,,,,,,,,,,,,,,,,,
.soil,infD,Top soil layer across which infiltration is calculcated,m,soil_layer~top~infiltration__thickness,,Top soil layer across which infiltration is calculcated,,,,,,,,,,,,,,,,,,,,
.soil,KsatV,Vertical Saturated Hydraulic Conductivity,m/day,soil_water__vertical_saturated_hydraulic_conductivity,,Vertical Saturated Hydraulic Conductivity,,,,,,,,,,,,,,,,,,,,
.soil,macKsatV,Vertical macropore Hydraulic conductivity,m/day,soil_macropores_water__vertical_hydraulic_conductivity,,Vertical macropore Hydraulic conductivity,,,,,,,,,,,,,,,,,,,,
.soil,ThetaR,Residual water content,m3/m3,soil_water__residual_volume_fraction,,Residual water content,,,,,,,,,,,,,,,,,,,,
.soil,ThetaS,Porosity,m3/m3,soil__porosity,,Porosity,,,,,,,,,,,,,,,,,,,,
